Code,delist_date
000024.SZ,2015-12-30
000406.SZ,2006-04-21
000418.SZ,2019-06-21
000515.SZ,2009-05-06
000522.SZ,2013-04-26
000527.SZ,2013-09-18
000549.SZ,2007-04-27
000562.SZ,2015-01-26
000569.SZ,2009-05-06
000578.SZ,2011-03-22
000602.SZ,2013-08-14
000618.SZ,2006-02-20
000748.SZ,2017-01-18
000763.SZ,2006-01-04
000817.SZ,2006-01-04
000866.SZ,2006-04-21
000916.SZ,2017-12-25
000956.SZ,2006-04-21
300186.SZ,2015-11-02
600001.SH,2009-12-29
600002.SH,2006-04-24
600005.SH,2017-02-14
600068.SH,2021-09-13
600102.SH,2012-02-28
600205.SH,2007-04-30
600253.SH,2013-07-15
600263.SH,2012-03-01
600270.SH,2018-12-28
600296.SH,2007-04-30
600317.SH,2021-01-29
600357.SH,2009-12-29
600472.SH,2007-12-26
600553.SH,2011-02-18
600607.SH,2010-02-12
600627.SH,2008-11-26
600631.SH,2011-08-23
600723.SH,2021-10-22
600786.SH,2008-03-18
600832.SH,2015-05-20
600840.SH,2009-08-27
600842.SH,2010-02-12
600991.SH,2012-03-20
601299.SH,2015-05-20
