ts_code,trade_date,adj_factor
000001.SZ,20250818,80.8975
000002.SZ,20250818,181.7038
000004.SZ,20250818,4.0639
000006.SZ,20250818,39.7397
000007.SZ,20250818,8.2835
000008.SZ,20250818,22.4083
000009.SZ,20250818,8.9769
000010.SZ,20250818,10.7745
000011.SZ,20250818,4.4108
000012.SZ,20250818,30.345
000014.SZ,20250818,6.7761
000016.SZ,20250818,22.3755
000017.SZ,20250818,2.6827
000019.SZ,20250818,4.8617
000020.SZ,20250818,1.7518
000021.SZ,20250818,14.7402
000025.SZ,20250818,2.7679
000026.SZ,20250818,8.9882
000027.SZ,20250818,18.4562
000028.SZ,20250818,5.6864
000029.SZ,20250818,2.2912
000030.SZ,20250818,4.2327
000031.SZ,20250818,14.651
000032.SZ,20250818,4.2558
000034.SZ,20250818,3.2378
000035.SZ,20250818,4.7465
000036.SZ,20250818,12.8399
000037.SZ,20250818,5.6683
000039.SZ,20250818,52.004
000042.SZ,20250818,13.4979
000045.SZ,20250818,3.0143
000048.SZ,20250818,9.9802
000049.SZ,20250818,9.4031
000050.SZ,20250818,8.4772
000055.SZ,20250818,10.3246
000056.SZ,20250818,4.7084
000058.SZ,20250818,3.3109
000059.SZ,20250818,1.8284
000060.SZ,20250818,41.4844
000061.SZ,20250818,22.8079
000062.SZ,20250818,8.0696
000063.SZ,20250818,17.1057
000065.SZ,20250818,17.8844
000066.SZ,20250818,11.0083
000068.SZ,20250818,2.2795
000069.SZ,20250818,45.2547
000070.SZ,20250818,3.4835
000078.SZ,20250818,20.4845
000088.SZ,20250818,8.7023
000089.SZ,20250818,7.3576
000090.SZ,20250818,9.83
000096.SZ,20250818,2.891
000099.SZ,20250818,3.9442
000100.SZ,20250818,3.7662
000151.SZ,20250818,2.759
000153.SZ,20250818,8.3901
000155.SZ,20250818,1.5909
000156.SZ,20250818,1.2089
000157.SZ,20250818,90.7888
000158.SZ,20250818,2.9518
000159.SZ,20250818,3.2146
000166.SZ,20250818,1.5687
000301.SZ,20250818,2.3785
000333.SZ,20250818,5.6057
000338.SZ,20250818,22.8673
000400.SZ,20250818,8.0256
000401.SZ,20250818,4.6942
000402.SZ,20250818,39.1417
000403.SZ,20250818,10.2328
000404.SZ,20250818,3.9649
000407.SZ,20250818,11.548
000408.SZ,20250818,6.7159
000409.SZ,20250818,2.1503
000410.SZ,20250818,2.889
000411.SZ,20250818,3.3948
000415.SZ,20250818,20.9189
000417.SZ,20250818,19.0343
000419.SZ,20250818,16.7468
000420.SZ,20250818,6.3521
000421.SZ,20250818,7.5315
000422.SZ,20250818,15.5444
000423.SZ,20250818,11.467
000425.SZ,20250818,43.9168
000426.SZ,20250818,17.0461
000428.SZ,20250818,12.1386
000429.SZ,20250818,4.8786
000430.SZ,20250818,4.6123
000488.SZ,20250818,9.7673
000498.SZ,20250818,3.1775
000501.SZ,20250818,7.213
000503.SZ,20250818,7.6146
000504.SZ,20250818,2.1029
000505.SZ,20250818,3.3627
000506.SZ,20250818,2.8717
000507.SZ,20250818,4.8296
000509.SZ,20250818,9.7463
000510.SZ,20250818,10.4222
000513.SZ,20250818,9.9864
000514.SZ,20250818,4.4345
000516.SZ,20250818,39.8728
000517.SZ,20250818,17.9587
000518.SZ,20250818,8.3769
000519.SZ,20250818,8.0
000520.SZ,20250818,6.8547
000521.SZ,20250818,5.8686
000523.SZ,20250818,6.6868
000524.SZ,20250818,4.9611
000525.SZ,20250818,8.3784
000526.SZ,20250818,2.4707
000528.SZ,20250818,13.1801
000529.SZ,20250818,3.5384
000530.SZ,20250818,10.0752
000531.SZ,20250818,16.2976
000532.SZ,20250818,4.5297
000533.SZ,20250818,2.2577
000534.SZ,20250818,4.2832
000536.SZ,20250818,3.6732
000537.SZ,20250818,6.9159
000538.SZ,20250818,29.9067
000539.SZ,20250818,18.9025
000541.SZ,20250818,32.9589
000543.SZ,20250818,5.102
000544.SZ,20250818,4.1031
000545.SZ,20250818,4.5595
000546.SZ,20250818,1.8473
000547.SZ,20250818,10.683
000548.SZ,20250818,3.6954
000550.SZ,20250818,3.8221
000551.SZ,20250818,9.591
000552.SZ,20250818,8.1307
000553.SZ,20250818,4.2137
000554.SZ,20250818,5.0095
000555.SZ,20250818,3.1785
000557.SZ,20250818,7.3977
000558.SZ,20250818,5.9568
000559.SZ,20250818,40.6862
000560.SZ,20250818,5.3021
000561.SZ,20250818,2.5231
000563.SZ,20250818,18.7366
000564.SZ,20250818,7.1816
000565.SZ,20250818,7.6654
000566.SZ,20250818,9.5136
000567.SZ,20250818,16.0327
000568.SZ,20250818,37.6218
000570.SZ,20250818,4.587
000571.SZ,20250818,7.6131
000572.SZ,20250818,4.6561
000573.SZ,20250818,8.5596
000576.SZ,20250818,6.2967
000581.SZ,20250818,6.5316
000582.SZ,20250818,5.4824
000586.SZ,20250818,3.6985
000589.SZ,20250818,6.943
000590.SZ,20250818,4.7638
000591.SZ,20250818,15.1795
000592.SZ,20250818,6.3753
000593.SZ,20250818,5.6004
000595.SZ,20250818,4.9585
000596.SZ,20250818,3.7396
000597.SZ,20250818,5.103
000598.SZ,20250818,28.0552
000599.SZ,20250818,4.9024
000600.SZ,20250818,7.4423
000601.SZ,20250818,10.9486
000603.SZ,20250818,4.3216
000605.SZ,20250818,3.6166
000607.SZ,20250818,3.7979
000608.SZ,20250818,11.1253
000609.SZ,20250818,6.0291
000610.SZ,20250818,3.0167
000612.SZ,20250818,10.4532
000615.SZ,20250818,9.0927
000617.SZ,20250818,7.9347
000619.SZ,20250818,9.3414
000620.SZ,20250818,2.2842
000623.SZ,20250818,23.9358
000625.SZ,20250818,15.4701
000626.SZ,20250818,10.6781
000627.SZ,20250818,28.9184
000628.SZ,20250818,3.1951
000629.SZ,20250818,7.789
000630.SZ,20250818,30.0588
000631.SZ,20250818,20.1852
000632.SZ,20250818,7.5267
000633.SZ,20250818,7.4788
000635.SZ,20250818,4.2118
000636.SZ,20250818,17.9841
000637.SZ,20250818,17.272
000638.SZ,20250818,4.4203
000639.SZ,20250818,10.9062
000650.SZ,20250818,24.4987
000651.SZ,20250818,215.2875
000652.SZ,20250818,28.3009
000655.SZ,20250818,6.1109
000656.SZ,20250818,7.43
000657.SZ,20250818,5.7807
000659.SZ,20250818,16.5266
000661.SZ,20250818,8.0018
000663.SZ,20250818,4.0494
000665.SZ,20250818,5.766
000668.SZ,20250818,3.6717
000669.SZ,20250818,3.6507
000670.SZ,20250818,10.0899
000672.SZ,20250818,9.2349
000676.SZ,20250818,10.8038
000677.SZ,20250818,18.3
000678.SZ,20250818,4.9599
000679.SZ,20250818,5.7631
000680.SZ,20250818,5.695
000681.SZ,20250818,5.0731
000682.SZ,20250818,16.234
000683.SZ,20250818,8.6359
000685.SZ,20250818,17.4874
000686.SZ,20250818,14.0033
000688.SZ,20250818,4.9735
000690.SZ,20250818,49.4285
000691.SZ,20250818,3.0546
000692.SZ,20250818,12.1896
000695.SZ,20250818,2.5496
000697.SZ,20250818,3.6749
000698.SZ,20250818,3.0697
000700.SZ,20250818,17.8317
000701.SZ,20250818,1.7257
000702.SZ,20250818,2.553
000703.SZ,20250818,9.8864
000705.SZ,20250818,5.6412
000707.SZ,20250818,3.1884
000708.SZ,20250818,4.3377
000709.SZ,20250818,11.4827
000710.SZ,20250818,3.4966
000711.SZ,20250818,9.7589
000712.SZ,20250818,13.1603
000713.SZ,20250818,6.3181
000715.SZ,20250818,6.7564
000716.SZ,20250818,3.866
000717.SZ,20250818,5.1827
000718.SZ,20250818,9.0645
000719.SZ,20250818,5.5831
000720.SZ,20250818,7.2605
000721.SZ,20250818,4.6898
000722.SZ,20250818,4.0216
000723.SZ,20250818,6.8151
000725.SZ,20250818,5.427
000726.SZ,20250818,8.7986
000727.SZ,20250818,5.6347
000728.SZ,20250818,2.9687
000729.SZ,20250818,8.4306
000731.SZ,20250818,12.5256
000733.SZ,20250818,2.3129
000735.SZ,20250818,5.9025
000736.SZ,20250818,3.0238
000737.SZ,20250818,3.7119
000738.SZ,20250818,1.8413
000739.SZ,20250818,13.2941
000750.SZ,20250818,13.4866
000751.SZ,20250818,3.4066
000752.SZ,20250818,4.7711
000753.SZ,20250818,11.0823
000755.SZ,20250818,2.696
000756.SZ,20250818,2.1399
000757.SZ,20250818,4.0244
000758.SZ,20250818,17.0259
000759.SZ,20250818,7.071
000761.SZ,20250818,2.3979
000762.SZ,20250818,5.5287
000766.SZ,20250818,3.268
000767.SZ,20250818,10.762
000768.SZ,20250818,8.6123
000776.SZ,20250818,6.4168
000777.SZ,20250818,7.3182
000778.SZ,20250818,15.1714
000779.SZ,20250818,2.4115
000782.SZ,20250818,3.4597
000783.SZ,20250818,6.3674
000785.SZ,20250818,7.2591
000786.SZ,20250818,11.9282
000788.SZ,20250818,3.8326
000789.SZ,20250818,7.1066
000790.SZ,20250818,12.3628
000791.SZ,20250818,4.0812
000792.SZ,20250818,7.3685
000793.SZ,20250818,12.7688
000795.SZ,20250818,4.4115
000796.SZ,20250818,4.1794
000797.SZ,20250818,6.8337
000798.SZ,20250818,2.3023
000799.SZ,20250818,2.1559
000800.SZ,20250818,2.7203
000801.SZ,20250818,15.0796
000802.SZ,20250818,3.328
000803.SZ,20250818,5.8934
000807.SZ,20250818,7.2862
000809.SZ,20250818,2.8957
000810.SZ,20250818,5.6502
000811.SZ,20250818,21.1853
000812.SZ,20250818,7.4733
000813.SZ,20250818,3.9289
000815.SZ,20250818,3.4463
000816.SZ,20250818,7.3099
000818.SZ,20250818,2.1025
000819.SZ,20250818,8.4946
000820.SZ,20250818,1.9253
000821.SZ,20250818,2.4967
000822.SZ,20250818,2.5095
000823.SZ,20250818,3.061
000825.SZ,20250818,8.1594
000826.SZ,20250818,8.322
000828.SZ,20250818,4.3045
000829.SZ,20250818,15.1835
000830.SZ,20250818,8.7902
000831.SZ,20250818,4.0247
000833.SZ,20250818,2.0789
000837.SZ,20250818,4.0466
000838.SZ,20250818,13.1287
000839.SZ,20250818,22.6109
000848.SZ,20250818,28.9451
000850.SZ,20250818,9.352
000851.SZ,20250818,2.3968
000852.SZ,20250818,5.4787
000856.SZ,20250818,1.8779
000858.SZ,20250818,19.988
000859.SZ,20250818,3.7219
000860.SZ,20250818,3.04
000862.SZ,20250818,2.6983
000863.SZ,20250818,6.889
000868.SZ,20250818,6.7304
000869.SZ,20250818,5.0457
000875.SZ,20250818,1.4808
000876.SZ,20250818,18.1997
000877.SZ,20250818,7.4943
000878.SZ,20250818,3.1026
000880.SZ,20250818,4.0705
000881.SZ,20250818,5.0074
000882.SZ,20250818,2.945
000883.SZ,20250818,5.991
000885.SZ,20250818,2.2152
000886.SZ,20250818,3.1648
000887.SZ,20250818,7.6087
000888.SZ,20250818,6.5836
000889.SZ,20250818,5.0505
000890.SZ,20250818,3.6025
000892.SZ,20250818,2.486
000893.SZ,20250818,2.0347
000895.SZ,20250818,28.0899
000897.SZ,20250818,6.1722
000898.SZ,20250818,3.2972
000899.SZ,20250818,3.8074
000900.SZ,20250818,15.4387
000901.SZ,20250818,6.5466
000902.SZ,20250818,3.9038
000903.SZ,20250818,12.0209
000905.SZ,20250818,2.7391
000906.SZ,20250818,5.6776
000908.SZ,20250818,2.8296
000909.SZ,20250818,2.1333
000910.SZ,20250818,2.7161
000911.SZ,20250818,1.8891
000912.SZ,20250818,2.3006
000913.SZ,20250818,2.9555
000915.SZ,20250818,3.9238
000917.SZ,20250818,8.0066
000919.SZ,20250818,3.9556
000920.SZ,20250818,3.297
000921.SZ,20250818,1.5799
000922.SZ,20250818,2.8916
000923.SZ,20250818,1.8582
000925.SZ,20250818,3.0303
000926.SZ,20250818,4.9602
000927.SZ,20250818,1.6132
000928.SZ,20250818,2.6024
000929.SZ,20250818,2.4981
