ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000001.SZ,20250818,12.08,12.06,12.15,12.03,12.08,0.0,0.0,1239058.37,1496527.039
000002.SZ,20250818,6.5,6.53,6.56,6.48,6.53,-0.03,-0.4594,1381625.42,898811.495
000004.SZ,20250818,9.41,9.32,9.63,9.25,9.22,0.19,2.0607,90541.01,85645.456
000006.SZ,20250818,7.7,7.6,7.84,7.47,7.33,0.37,5.0477,1048525.79,803042.403
000007.SZ,20250818,7.52,7.36,7.8,7.31,7.33,0.19,2.5921,163553.68,123366.135
000008.SZ,20250818,2.88,2.86,2.91,2.85,2.86,0.02,0.6993,603457.96,174383.498
000009.SZ,20250818,9.36,9.19,9.45,9.13,9.17,0.19,2.072,446496.89,415360.163
000010.SZ,20250818,4.66,4.59,4.75,4.56,4.6,0.06,1.3043,620736.0,289534.9
000011.SZ,20250818,10.18,10.2,10.45,9.97,10.05,0.13,1.2935,422511.65,430340.639
000012.SZ,20250818,4.78,4.81,4.82,4.77,4.79,-0.01,-0.2088,173550.6,83155.298
000014.SZ,20250818,16.53,15.33,16.7,15.28,15.18,1.35,8.8933,400220.46,642443.561
000016.SZ,20250818,5.47,5.36,5.65,5.34,5.33,0.14,2.6266,1623009.67,895080.477
000017.SZ,20250818,6.51,6.43,6.51,6.39,6.42,0.09,1.4019,167971.67,108609.678
000019.SZ,20250818,6.89,6.96,6.98,6.88,6.92,-0.03,-0.4335,155633.34,107721.202
000020.SZ,20250818,13.98,13.98,14.15,13.94,13.9,0.08,0.5755,36769.0,51669.061
000021.SZ,20250818,19.84,19.28,19.98,19.27,19.28,0.56,2.9046,749133.47,1476824.9
000025.SZ,20250818,17.65,17.58,17.78,17.52,17.5,0.15,0.8571,122994.68,217323.172
000026.SZ,20250818,19.73,19.67,19.87,18.76,19.99,-0.26,-1.3007,362011.79,699521.834
000027.SZ,20250818,6.97,6.93,7.1,6.93,6.9,0.07,1.0145,474349.37,332084.729
000028.SZ,20250818,25.87,25.95,25.99,25.78,25.82,0.05,0.1936,53519.7,138604.035
000029.SZ,20250818,24.43,24.33,24.67,23.66,24.06,0.37,1.5378,97710.2,237874.851
000030.SZ,20250818,6.06,6.09,6.13,6.04,6.08,-0.02,-0.3289,172915.84,105183.67
000031.SZ,20250818,3.24,3.2,3.27,3.13,3.19,0.05,1.5674,279296.01,89767.14
000032.SZ,20250818,24.57,24.38,24.76,23.8,24.5,0.07,0.2857,406366.44,990701.83
000034.SZ,20250818,44.24,42.94,45.07,42.17,42.15,2.09,4.9585,694896.75,3030033.188
000035.SZ,20250818,4.36,4.34,4.39,4.34,4.34,0.02,0.4608,241163.87,105354.26
000036.SZ,20250818,4.07,4.15,4.17,4.05,4.13,-0.06,-1.4528,361120.08,147748.037
000037.SZ,20250818,9.14,9.11,9.17,9.08,9.11,0.03,0.3293,122056.03,111416.328
000039.SZ,20250818,8.07,8.1,8.12,8.05,8.1,-0.03,-0.3704,498012.11,402434.297
000042.SZ,20250818,8.73,8.74,8.8,8.65,8.71,0.02,0.2296,66369.0,57991.395
000045.SZ,20250818,11.68,11.56,11.83,11.52,11.33,0.35,3.0891,209556.02,244938.749
000048.SZ,20250818,15.85,16.02,16.09,15.81,15.93,-0.08,-0.5022,95600.97,152334.821
000049.SZ,20250818,23.97,23.77,24.2,23.73,23.67,0.3,1.2674,81679.66,195846.431
000050.SZ,20250818,9.55,9.55,9.67,9.5,9.51,0.04,0.4206,252203.74,241907.341
000055.SZ,20250818,4.13,4.15,4.18,4.11,4.14,-0.01,-0.2415,149504.0,61957.012
000056.SZ,20250818,2.87,2.95,2.98,2.86,2.95,-0.08,-2.7119,991060.76,287441.993
000058.SZ,20250818,9.22,9.19,9.36,9.13,9.15,0.07,0.765,174840.75,161355.447
000059.SZ,20250818,5.33,5.32,5.42,5.27,5.31,0.02,0.3766,271307.94,145035.454
000060.SZ,20250818,5.01,5.08,5.09,4.98,5.05,-0.04,-0.7921,804650.51,403365.746
000061.SZ,20250818,6.74,6.7,6.85,6.67,6.69,0.05,0.7474,150859.45,102098.405
000062.SZ,20250818,29.18,29.18,29.18,28.35,26.53,2.65,9.9887,379914.04,1105674.242
000063.SZ,20250818,38.31,35.45,38.73,35.45,35.21,3.1,8.8043,3859223.18,14703286.024
000065.SZ,20250818,12.54,12.6,12.65,12.23,12.93,-0.39,-3.0162,731258.24,909423.897
000066.SZ,20250818,18.14,17.8,18.46,17.7,17.8,0.34,1.9101,3927302.02,7086663.238
000068.SZ,20250818,3.95,4.05,4.22,3.85,4.04,-0.09,-2.2277,1133179.53,448558.863
000069.SZ,20250818,2.31,2.32,2.33,2.3,2.32,-0.01,-0.431,701996.27,162385.202
000070.SZ,20250818,10.6,10.5,11.29,10.32,10.69,-0.09,-0.8419,1489410.49,1612516.68
000078.SZ,20250818,2.69,2.67,2.71,2.66,2.66,0.03,1.1278,379596.6,102102.178
