ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
002179.SZ,20250818,41.75,1.6302,3.0782,26.3656,27.2681,3.9121,4.2753,4.1113,211827.105,208070.885,110195.6796,8843781.6338,8686959.4488,0
688222.SH,20250818,23.03,5.7899,10.7728,179.6764,140.4483,6.587,21.6111,21.6439,40068.0,40068.0,21534.731,922766.04,922766.04,0
601702.SH,20250818,18.54,1.3589,4.882,15.2005,15.0438,3.3662,1.7018,1.621,99853.06,99853.06,27793.0,1851275.7324,1851275.7324,0
603373.SH,20250818,54.89,10.2533,15.068,47.0313,46.4874,3.3474,2.2212,2.1836,10752.6882,4543.0108,3091.3979,590215.0553,249365.8628,0
300421.SZ,20250818,16.51,7.1411,8.1025,87.8894,84.663,3.8654,4.6473,4.5464,29403.0484,23034.4072,20301.2453,485444.3291,380298.0629,0
600755.SH,20250818,6.28,1.0101,1.641,21.7556,21.3682,0.6865,0.0384,0.0415,216746.3548,213215.8487,131249.8001,1361167.1081,1338995.5298,0
600415.SH,20250818,20.12,2.2754,5.5588,35.8954,33.266,5.4103,7.0108,6.6129,548364.5926,548286.0526,224432.9298,11033095.6031,11031515.3783,0
600486.SH,20250818,64.64,1.0799,2.0222,21.7997,21.6949,2.4589,2.5113,2.4958,40539.8884,40398.8654,21574.2129,2620498.3862,2611382.6595,0
002513.SZ,20250818,5.41,4.3943,5.5585,,,161.996,1.1322,1.0364,37528.0278,26385.617,20859.51,203026.6304,142746.188,0
300682.SZ,20250818,23.04,5.5122,10.2447,,,3.7014,5.5564,5.5574,108024.7336,103406.9502,55638.1852,2488889.8621,2382496.1326,0
002714.SZ,20250818,46.33,1.0145,1.5858,14.1539,10.2253,3.5032,1.8347,1.7131,546277.001,381059.4145,243771.2851,25309013.4563,17654482.6738,0
688419.SH,20250818,30.0,11.7948,11.7948,53.6827,47.3674,3.4356,12.8141,11.4407,11455.1669,3077.2999,3077.2999,343655.007,92318.997,0
300225.SZ,20250818,4.3,4.872,5.7209,66.1374,60.289,2.3747,2.7946,2.7676,47542.959,47410.709,40375.435,204434.7237,203866.0487,0
300988.SZ,20250818,23.35,6.899,11.8517,43.1937,38.4958,2.7185,1.781,1.7412,14029.7357,10659.1097,6204.7797,327594.3286,248890.2115,0
002494.SZ,20250818,5.05,5.3149,5.9401,85.7548,179.5976,1.5474,3.7964,4.3293,37731.0718,28677.0438,25659.0344,190541.9126,144819.0712,0
601512.SH,20250818,7.93,0.3433,1.8067,18.6567,28.0119,0.8193,4.4267,4.7365,149889.0,149889.0,28479.0,1188619.77,1188619.77,0
688571.SH,20250818,9.1,1.9573,6.0595,27.496,27.0626,2.5561,3.0107,3.0098,42012.85,42012.85,13570.8355,382316.935,382316.935,0
002575.SZ,20250818,8.12,5.0071,5.4858,,,6.8892,13.5471,12.0163,61650.0,57829.85,52782.85,500598.0,469578.382,0
600650.SH,20250818,17.0,5.0533,11.4337,47.6862,55.1828,2.2477,5.1299,5.4058,55161.0107,39056.0075,17261.2122,937737.1819,663952.1275,0
300157.SZ,20250818,5.17,13.3301,16.0377,,,,7.0596,9.081,75393.7707,70782.4632,58832.4335,389785.7945,365945.3347,0
600651.SH,20250818,6.14,2.4174,6.9781,389.9539,525.5831,6.2609,7.8341,7.8584,250702.8015,250702.8015,86850.8184,1539315.2012,1539315.2012,0
605033.SH,20250818,21.17,1.9176,7.4356,77.6517,127.9281,2.5083,3.2322,3.3171,13520.0,13520.0,3486.72,286218.4,286218.4,0
000816.SZ,20250818,3.15,2.661,3.5822,,,2.2245,3.1383,3.4476,144701.3318,143643.0472,106702.0822,455809.1952,452475.5987,0
300538.SZ,20250818,17.98,9.4358,11.5326,,,3.4072,1.0637,1.0087,18191.8573,11314.1481,9257.0581,327089.5943,203428.3828,0
300766.SZ,20250818,44.12,22.0964,24.1355,,,10.8558,37.0274,37.1033,39474.9757,35825.0038,32798.2288,1741635.9279,1580599.1677,0
688021.SH,20250818,20.7,9.9838,16.7193,,,1.8512,5.5653,5.1255,7641.3717,7641.3717,4562.9844,158176.3942,158176.3942,0
001210.SZ,20250818,15.4,4.2991,6.5305,49.5979,43.5426,1.7646,2.2517,2.1249,15681.2676,9530.2565,6273.7883,241491.521,146765.9501,0
688468.SH,20250818,8.8,3.5122,5.5815,27.777,34.1947,2.555,8.0904,8.6897,40110.8,40110.8,25239.7459,352975.04,352975.04,0
600663.SH,20250818,8.67,0.5598,2.2003,28.9397,24.6901,1.7522,2.9796,2.6218,503515.3679,315568.3662,80278.0984,4365478.2397,2735977.735,0
002552.SZ,20250818,16.38,3.8773,9.808,25.6641,34.7045,3.6608,2.1959,2.1984,38798.5331,32023.3796,12659.5432,635519.9722,524542.9578,0
300344.SZ,20250818,5.93,7.0074,12.7017,,,15.3935,14.7191,14.0244,64170.6416,63942.3416,35276.4251,380531.9047,379178.0857,0
688401.SH,20250818,45.46,4.9846,8.2269,46.0487,44.1794,6.3465,10.0382,9.1665,19333.372,19333.372,11713.941,878895.0911,878895.0911,0
300226.SZ,20250818,29.47,13.121,17.8253,58.2128,57.2484,4.6038,0.1155,0.1188,31872.1422,30635.5664,22550.4501,939272.0306,902830.1418,0
300627.SZ,20250818,36.61,1.6541,2.2318,49.0498,43.4474,7.5599,8.8021,7.9482,78163.9395,64338.5329,47684.142,2861581.8251,2355433.6895,0
300331.SZ,20250818,23.66,10.643,12.5065,,,3.9728,3.3378,3.3717,25966.2286,20617.6815,17545.6569,614360.9687,487814.3443,0
002825.SZ,20250818,10.43,2.9398,4.122,28.1969,20.1227,2.2356,1.8749,1.8378,34153.5127,25654.4008,18296.4677,356221.1375,267575.4003,0
605018.SH,20250818,13.04,2.2516,10.6353,54.0549,81.3145,2.3049,2.7844,3.0064,47122.5793,47006.5793,9951.5793,614478.4341,612965.7941,0
002132.SZ,20250818,3.87,1.9291,2.5169,398.6029,255.4959,1.5695,1.0666,1.0685,140154.4698,139948.2156,107266.7817,542397.7981,541599.5944,0
688020.SH,20250818,57.6,7.1073,15.2622,,,3.4138,13.5122,12.7257,8083.1748,8083.1748,3764.1925,465590.8685,465590.8685,0
300659.SZ,20250818,15.53,6.5933,7.4646,,,3.1982,5.1498,5.4758,26039.2378,19033.2729,16811.4597,404389.363,295586.7281,0
600118.SH,20250818,29.58,2.1121,4.3514,1253.0642,1391.2916,5.5454,6.7833,6.6403,118248.9135,118248.9135,57394.7959,3497802.8613,3497802.8613,0
300036.SZ,20250818,16.84,4.0735,4.1722,,,3.1855,5.54,5.7881,49276.6617,43847.7777,42810.3658,829818.983,738396.5765,0
000837.SZ,20250818,12.98,3.9993,7.3144,246.1715,237.384,2.7062,3.4301,3.3753,102000.5837,100740.1337,55081.5236,1323967.5764,1307606.9354,0
688699.SH,20250818,39.14,2.114,5.1938,607.7,,3.5754,7.0924,7.2685,11006.464,11006.464,4479.9963,430793.001,430793.001,0
300413.SZ,20250818,26.45,13.8113,23.653,36.2668,38.9353,2.1997,3.5143,3.6235,187072.0815,102169.9958,59658.274,4948056.5557,2702396.3889,0
831855.BJ,20250818,21.19,3.3574,11.0485,40.8286,34.7685,2.8558,6.0365,5.6262,7473.3333,6707.4411,2038.2683,158359.9326,142130.6769,0
002324.SZ,20250818,14.15,4.1841,5.2853,111.5131,91.6657,3.6084,1.8932,1.8963,111233.6248,77627.5962,61453.685,1573955.7909,1098430.4862,0
300004.SZ,20250818,10.06,26.3317,35.4466,64.8282,60.7566,2.7396,7.7829,7.4879,47999.3598,47999.3598,35656.6865,482873.5596,482873.5596,1
300756.SZ,20250818,32.07,4.3243,4.5914,687.3392,,3.682,8.7614,8.4401,15759.8176,13123.0353,12359.6437,505417.3504,420855.7421,0
300915.SZ,20250818,26.83,3.4842,4.8473,30.4734,41.1454,2.2151,3.1056,3.1466,12583.9268,5760.8588,4140.8588,337626.756,154563.8416,0
