TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
000001.SH,20250815,3635.1281,3637.0534,3704.7715,3629.6267,3696.7705,302789726100.0,4326602339278.0,61.6424,0.016957
000002.SH,20250815,3810.2887,3812.3107,3883.4926,3804.5221,3875.0926,302434379300.0,4320818294246.0,64.8039,0.017008
000003.SH,20250815,266.7153,266.3011,267.7668,265.0925,267.2754,278593500.0,1070488100.5,0.5601,0.0021
000004.SH,20250815,3140.0353,3144.1638,3234.8736,3140.7538,3232.2183,189585890300.0,3227104721216.0,92.183,0.029357
000005.SH,20250815,2901.3405,2897.9995,2936.2553,2889.9753,2925.8113,27204671600.0,284758873935.1,24.4708,0.008434
000006.SH,20250815,4683.3218,4697.1105,4713.2419,4620.5052,4663.649,4718592300.0,25485012071.7,-19.6728,-0.004201
000007.SH,20250815,4675.5506,4681.3596,4683.2527,4614.5562,4646.423,26783963900.0,180479794719.4,-29.1276,-0.00623
000008.SH,20250815,3538.1141,3535.0975,3579.538,3502.9014,3539.1221,54496608100.0,608773937334.8,1.008,0.000285
000010.SH,20250815,9088.3023,9097.784,9291.5442,9063.9328,9235.4757,69305493200.0,1217496110144.0,147.1734,0.016194
000011.SH,20250815,6992.7861,6993.0996,7026.2281,6993.0452,7025.1419,591978567200.0,1443001140340.0,32.3558,0.004627
000012.SH,20250815,225.8208,225.8651,225.8654,225.5679,225.593,10397823.0,105562395856.0,-0.2278,-0.001009
000013.SH,20250815,300.1952,300.2706,300.3631,300.2579,300.358,2048089.0,20753436217.0,0.1628,0.000542
000016.SH,20250815,2789.1744,2791.3523,2858.009,2783.6454,2832.8759,26193463100.0,598788910046.0,43.7015,0.015668
399001.SZ,20250815,11128.6725,11159.0268,11647.3921,11159.0268,11634.6678,116079068282.0,2429301829458.0,505.9953,0.045468
399002.SZ,20250815,14877.4377,14918.017,15572.5569,14918.017,15555.5444,116079068282.0,2429301829458.0,678.1067,0.04558
399003.SZ,20250815,8690.0639,8697.7392,8851.5336,8686.5894,8742.4641,90491277.0,468988724.139,52.4002,0.00603
399004.SZ,20250815,6777.8896,6792.1125,7117.343,6792.1125,7103.5741,30972415015.0,933185218794.0,325.6845,0.048051
399106.SZ,20250815,2220.1474,2224.4546,2300.7674,2224.4546,2300.7674,388596498377.0,6056648225400.0,80.62,0.036313
399107.SZ,20250815,2322.4567,2326.9663,2406.8696,2326.9663,2406.8696,388381840265.0,6055949005290.0,84.4129,0.036346
399108.SZ,20250815,1305.4188,1306.3707,1327.6783,1304.9692,1321.2512,214658112.0,699220122.413,15.8324,0.012128
399481.SZ,20250815,128.0399,128.0399,128.0402,128.0334,128.0383,1914846.0,19442034317.79,-0.0016,-1.2e-05
XIN3,20250815,10761.35,10761.35,11053.82,10751.64,10997.34,,,235.99,0.021929
801300.SI,20250815,2996.57,3000.15,3103.04,3000.15,3094.57,133574710000.0,2866968430000.0,98.0,0.032704
000015.SH,20250815,3149.5898,3151.4602,3162.8523,3078.6382,3096.5888,17577174700.0,141914121660.0,-53.001,-0.016828
