ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000001.SH,20250815,3696.7705,3659.8146,3702.2553,3658.3762,3666.4426,30.3279,0.8272,678521703.0,960624988.9,2025-08-15 15:09:19
000002.SH,20250815,3875.0926,3836.3743,3880.8548,3834.8814,3843.3394,31.7532,0.8262,677760736.0,959521711.9,2025-08-15 15:09:19
000003.SH,20250815,267.2754,265.3981,267.2832,265.0925,265.5445,1.7309,0.6518,618260.0,235012.1,2025-08-15 15:09:19
000004.SH,20250815,3232.2183,3179.3314,3234.8736,3179.3314,3187.087,45.1313,1.4161,401734261.0,690451706.5,2025-08-15 15:09:19
000005.SH,20250815,2925.8113,2901.2424,2930.5018,2889.9753,2906.8939,18.9174,0.6508,70948641.0,70633689.7,2025-08-15 15:09:19
000006.SH,20250815,4663.649,4624.4905,4688.9841,4623.2774,4623.3275,40.3215,0.8721,12564557.0,6977254.5,2025-08-15 15:09:19
000007.SH,20250815,4646.423,4619.3001,4654.7243,4614.5562,4627.3883,19.0347,0.4113,56421280.0,36520720.5,2025-08-15 15:09:19
000008.SH,20250815,3539.1221,3544.5689,3549.4033,3502.9014,3546.7367,-7.6146,-0.2147,136852964.0,156041617.7,2025-08-15 15:09:19
000009.SH,20250815,6063.4546,5933.139,6064.7099,5933.139,5941.7059,121.7487,2.0491,118175631.0,196440518.4,2025-08-15 15:09:19
000010.SH,20250815,9235.4757,9161.0638,9270.8027,9150.492,9189.726,45.7497,0.4978,172132678.0,291119241.7,2025-08-15 15:09:19
000015.SH,20250815,3096.5888,3100.3727,3101.047,3078.6382,3101.8267,-5.2379,-0.1689,48052742.0,37306615.136,2025-08-15 17:53:38
000016.SH,20250815,2832.8759,2821.9746,2847.6119,2813.0912,2829.4703,3.4056,0.1204,71117777.0,142205455.366,2025-08-15 17:53:38
000017.SH,20250815,3124.3392,3093.0955,3128.9895,3091.8811,3098.7021,25.6371,0.8273,665381510.0,945704013.563,2025-08-15 17:53:38
000018.SH,20250815,5966.8401,5971.3216,5996.7391,5905.3003,5978.2945,-11.4544,-0.1916,76500757.0,94789650.405,2025-08-15 17:53:38
000019.SH,20250815,1172.886,1169.8192,1177.6624,1166.9662,1171.2797,1.6063,0.1371,117194854.0,167877265.569,2025-08-15 17:53:38
