ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
300778.SZ,20250820,24078.0,1639.42,9932.0,421.6,2561.0,7028.6,42638.27,4481.2,27178.0,10604.83,64394.44,10316.79,62678.68,8150.83,49559.56,12204.1,74106.59,1805.75,10876.07
000656.SZ,20250820,7815.0,0.0,0.0,1087.86,79107.0,6666.69,486275.0,10432.37,761770.04,5430.5,396731.2,3453.97,252477.56,4162.3,304310.0,1285.29,93961.6,-7608.47,-557338.2
301168.SZ,20250820,6470.0,891.1,2105.0,645.38,1543.0,2912.08,6913.0,2936.9,6962.0,3694.82,8754.0,4078.54,9660.0,3375.47,8002.0,3212.64,7609.0,-1213.04,-2908.0
600319.SH,20250820,6713.0,0.0,0.0,0.0,0.0,286.32,3966.0,383.11,5304.0,783.39,10834.0,767.49,10610.34,2006.84,27760.0,1925.95,26645.66,53.52,712.04
301371.SZ,20250820,9599.0,347.08,1295.0,0.0,0.0,1138.46,4215.12,1808.62,6708.42,2587.42,9592.8,3140.17,11642.8,3795.37,14085.9,2919.54,10837.6,470.74,1712.26
300192.SZ,20250820,35590.0,3920.61,22344.0,4120.1,23689.0,11018.34,63196.0,10902.96,62771.0,16550.35,95013.0,15412.36,88441.0,13559.39,78074.0,14613.27,83726.0,17.29,-551.0
603091.SH,20250820,3187.0,0.0,0.0,0.0,0.0,793.28,1280.0,1054.36,1704.0,1595.23,2575.0,1586.02,2558.0,2708.44,4366.34,2456.57,3959.34,714.15,1150.66
603162.SH,20250820,9461.0,415.76,4681.0,440.92,4967.0,1234.61,13909.83,1693.08,19063.95,2873.49,32370.94,2991.92,33697.1,4639.42,52244.12,4037.37,45477.84,302.17,3337.77
002859.SZ,20250820,36629.0,8164.9,28136.0,2512.7,8684.0,12084.21,41493.0,12152.32,41707.55,12626.36,43371.0,12649.64,43535.8,12163.15,41781.2,17723.96,60853.85,4979.18,17053.64
301101.SZ,20250820,25741.0,4091.65,8346.09,2522.08,5154.0,15282.31,31192.28,10728.24,21926.75,17617.84,35970.81,17188.83,35091.0,9603.46,19624.84,16156.12,32962.27,-4829.57,-9874.44
002630.SZ,20250820,14863.0,2385.68,91871.0,2117.92,81274.3,9148.31,352129.4,7104.93,273275.87,8543.18,328150.63,8920.03,343233.53,5453.6,209680.67,7387.89,284048.0,9293.76,357945.92
000719.SZ,20250820,12370.0,0.0,0.0,587.63,4515.0,576.39,4424.0,1113.65,8549.43,2139.32,16407.0,1589.61,12186.0,5015.67,38474.34,4440.49,34054.91,-546.12,-4233.68
