TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000001.SZ,20250820,13.27,10.85
000002.SZ,20250820,7.18,5.88
000004.SZ,20250820,10.08,9.12
000006.SZ,20250820,8.65,7.07
000007.SZ,20250820,8.37,6.85
000008.SZ,20250820,3.19,2.61
000009.SZ,20250820,10.24,8.38
000010.SZ,20250820,5.17,4.23
000011.SZ,20250820,11.21,9.17
000012.SZ,20250820,5.24,4.28
000014.SZ,20250820,18.99,15.53
000016.SZ,20250820,6.06,4.96
000017.SZ,20250820,7.23,5.91
000019.SZ,20250820,7.6,6.22
000020.SZ,20250820,15.54,12.72
000021.SZ,20250820,23.13,18.93
000025.SZ,20250820,19.56,16.0
000026.SZ,20250820,20.89,17.09
000027.SZ,20250820,7.58,6.2
000028.SZ,20250820,28.46,23.28
000029.SZ,20250820,26.95,22.05
000030.SZ,20250820,6.67,5.45
000031.SZ,20250820,3.54,2.9
000032.SZ,20250820,27.69,22.65
000034.SZ,20250820,49.14,40.2
000035.SZ,20250820,4.79,3.92
000036.SZ,20250820,4.57,3.74
000037.SZ,20250820,10.27,8.41
000039.SZ,20250820,8.87,7.25
000042.SZ,20250820,10.11,8.27
000045.SZ,20250820,12.76,10.44
000048.SZ,20250820,17.45,14.27
000049.SZ,20250820,26.39,21.59
000050.SZ,20250820,10.45,8.55
000055.SZ,20250820,4.59,3.75
000056.SZ,20250820,3.16,2.58
000058.SZ,20250820,10.11,8.27
000059.SZ,20250820,5.84,4.78
000060.SZ,20250820,5.51,4.51
000061.SZ,20250820,7.39,6.05
000062.SZ,20250820,32.99,26.99
000063.SZ,20250820,41.58,34.02
000065.SZ,20250820,13.62,11.14
000066.SZ,20250820,19.12,15.64
000068.SZ,20250820,4.28,3.5
000069.SZ,20250820,2.55,2.09
000070.SZ,20250820,11.01,9.01
000078.SZ,20250820,2.99,2.45
000088.SZ,20250820,5.02,4.1
000089.SZ,20250820,7.81,6.39
000090.SZ,20250820,3.97,3.25
000096.SZ,20250820,13.35,10.93
000099.SZ,20250820,25.85,21.15
000100.SZ,20250820,4.96,4.06
000151.SZ,20250820,14.37,11.75
000153.SZ,20250820,7.93,6.49
000155.SZ,20250820,11.24,9.2
000156.SZ,20250820,9.27,7.59
000157.SZ,20250820,8.17,6.69
000158.SZ,20250820,29.1,23.81
000159.SZ,20250820,6.47,5.29
000166.SZ,20250820,6.06,4.96
000301.SZ,20250820,9.72,7.96
000333.SZ,20250820,79.95,65.41
000338.SZ,20250820,16.79,13.73
000400.SZ,20250820,25.05,20.49
000401.SZ,20250820,5.47,4.47
000402.SZ,20250820,3.34,2.74
000403.SZ,20250820,19.67,16.09
000404.SZ,20250820,8.38,6.86
000407.SZ,20250820,3.93,3.21
000408.SZ,20250820,54.82,44.86
000409.SZ,20250820,14.74,12.06
000410.SZ,20250820,7.52,6.16
000411.SZ,20250820,12.53,10.25
000415.SZ,20250820,3.92,3.2
000417.SZ,20250820,6.71,5.49
000419.SZ,20250820,6.44,5.27
000420.SZ,20250820,4.64,3.8
000421.SZ,20250820,7.34,6.0
000422.SZ,20250820,14.63,11.97
000423.SZ,20250820,55.75,45.61
000425.SZ,20250820,9.39,7.69
000426.SZ,20250820,21.95,17.96
000428.SZ,20250820,3.81,3.11
000429.SZ,20250820,13.29,10.87
000430.SZ,20250820,7.6,6.88
000488.SZ,20250820,2.37,2.15
000498.SZ,20250820,6.59,5.39
000501.SZ,20250820,13.82,11.3
000503.SZ,20250820,12.24,10.02
000504.SZ,20250820,10.57,9.57
000505.SZ,20250820,7.43,6.08
000506.SZ,20250820,10.75,8.79
000507.SZ,20250820,6.16,5.04
000509.SZ,20250820,3.81,3.11
000510.SZ,20250820,5.91,4.83
000513.SZ,20250820,44.88,36.72
000514.SZ,20250820,6.45,5.27
000516.SZ,20250820,5.98,4.9
000517.SZ,20250820,2.17,1.77
000518.SZ,20250820,2.35,2.13
000519.SZ,20250820,24.54,20.08
000520.SZ,20250820,5.32,4.36
000521.SZ,20250820,8.39,6.87
000523.SZ,20250820,3.63,2.97
000524.SZ,20250820,14.5,11.86
000525.SZ,20250820,7.62,6.24
000526.SZ,20250820,56.54,46.26
000528.SZ,20250820,12.18,9.96
000529.SZ,20250820,6.83,5.59
000530.SZ,20250820,7.46,6.1
000531.SZ,20250820,7.14,5.84
000532.SZ,20250820,17.99,14.72
000533.SZ,20250820,8.81,7.21
000534.SZ,20250820,18.41,15.07
000536.SZ,20250820,5.57,4.55
000537.SZ,20250820,9.91,8.11
000538.SZ,20250820,62.18,50.88
000539.SZ,20250820,5.17,4.23
000541.SZ,20250820,7.84,6.42
000543.SZ,20250820,7.81,6.39
