TS_CODE,NAME
430476.BJ,海能技术
835184.BJ,国源科技
832225.BJ,利通科技
300539.SZ,横河精密
688141.SH,杰华特
301123.SZ,奕东电子
300814.SZ,中富电路
688648.SH,中邮科技
688448.SH,磁谷科技
688306.SH,均普智能
300547.SZ,川环科技
688775.SH,影石创新
300803.SZ,指南针
688519.SH,南亚新材
300730.SZ,科创信息
688199.SH,久日新材
688098.SH,申联生物
301526.SZ,国际复材
688265.SH,南模生物
300870.SZ,欧陆通
835438.BJ,戈碧迦
688669.SH,聚石化学
688733.SH,壹石通
300300.SZ,海峡创新
300561.SZ,*ST汇科
300033.SZ,同花顺
301397.SZ,溯联股份
301529.SZ,福赛科技
300690.SZ,双一科技
688379.SH,华光新材
300436.SZ,广生堂
301217.SZ,铜冠铜箔
301291.SZ,明阳电气
301616.SZ,浙江华业
688108.SH,赛诺医疗
300855.SZ,图南股份
300593.SZ,新雷能
838402.BJ,硅烷科技
833914.BJ,远航精密
301128.SZ,强瑞技术
300395.SZ,菲利华
300584.SZ,海辰药业
688582.SH,芯动联科
688619.SH,罗普特
300727.SZ,润禾材料
301630.SZ,同宇新材
301176.SZ,逸豪新材
839790.BJ,联迪信息
835179.BJ,凯德石英
688219.SH,会通股份
688702.SH,盛科通信-U
300844.SZ,山水比德
688539.SH,高华科技
300843.SZ,胜蓝股份
688318.SH,财富趋势
688347.SH,华虹公司
688676.SH,金盘科技
873693.BJ,阿为特
300951.SZ,博硕科技
688195.SH,腾景科技
688515.SH,裕太微-U
301022.SZ,海泰科
871694.BJ,中裕科技
300724.SZ,捷佳伟创
301479.SZ,弘景光电
688621.SH,阳光诺和
301018.SZ,申菱环境
301326.SZ,捷邦科技
301076.SZ,新瀚新材
603601.SH,再升科技
000068.SZ,华控赛格
603002.SH,宏昌电子
600110.SH,诺德股份
601609.SH,金田股份
002598.SZ,山东章鼓
600208.SH,衢州发展
002939.SZ,长城证券
002645.SZ,华宏科技
002549.SZ,凯美特气
002782.SZ,可立克
002879.SZ,长缆科技
603153.SH,上海建科
002364.SZ,中恒电气
601208.SH,东材科技
002911.SZ,佛燃能源
603607.SH,京华激光
600860.SH,京城股份
001269.SZ,欧晶科技
603380.SH,易德龙
600592.SH,龙溪股份
600673.SH,东阳光
600183.SH,生益科技
603757.SH,大元泵业
603373.SH,安邦护卫
001359.SZ,平安电工
603256.SH,宏和科技
600021.SH,上海电力
600416.SH,湘电股份
003020.SZ,立方制药
600113.SH,浙江东日
002715.SZ,登云股份
605169.SH,洪通燃气
603688.SH,石英股份
605196.SH,华通线缆
002080.SZ,中材科技
603222.SH,济民健康
003022.SZ,联泓新科
002993.SZ,奥海科技
002518.SZ,科士达
000501.SZ,武商集团
605588.SH,冠石科技
600580.SH,卧龙电驱
002052.SZ,同洲电子
002873.SZ,新天药业
003033.SZ,征和工业
002298.SZ,中电鑫龙
603686.SH,福龙马
002536.SZ,飞龙股份
002158.SZ,汉钟精机
603626.SH,科森科技
603025.SH,大豪科技
600737.SH,中粮糖业
002636.SZ,金安国纪
002951.SZ,金时科技
601519.SH,大智慧
603221.SH,爱丽家居
600255.SH,鑫科材料
002011.SZ,盾安环境
603903.SH,中持股份
000970.SZ,中科三环
603158.SH,腾龙股份
002272.SZ,川润股份
002909.SZ,集泰股份
002203.SZ,海亮股份
600076.SH,康欣新材
002660.SZ,茂硕电源
600601.SH,方正科技
002551.SZ,尚荣医疗
600657.SH,信达地产
601162.SH,天风证券
688021.SH,奥福科技
688800.SH,瑞可达
301413.SZ,安培龙
688368.SH,晶丰明源
300059.SZ,东方财富
688553.SH,汇宇制药-W
688584.SH,上海合晶
300368.SZ,汇金股份
002837.SZ,英维克
688661.SH,和林微纳
300811.SZ,铂科新材
920106.BJ,林泰新材
603337.SH,杰克股份
301511.SZ,德福科技
603031.SH,安孚科技
002871.SZ,伟隆股份
600711.SH,盛屯矿业
831834.BJ,三维装备
002768.SZ,国恩股份
603458.SH,勘设股份
002225.SZ,濮耐股份
688667.SH,菱电电控
300145.SZ,南方泵业
301398.SZ,星源卓镁
300902.SZ,国安达
601696.SH,中银证券
430685.BJ,新芝生物
300352.SZ,北信源
002317.SZ,众生药业
301132.SZ,满坤科技
301029.SZ,怡合达
300400.SZ,劲拓股份
300456.SZ,赛微电子
300655.SZ,晶瑞电材
603186.SH,华正新材
000029.SZ,深深房Ａ
688516.SH,奥特维
301196.SZ,唯科科技
873223.BJ,荣亿精密
301227.SZ,森鹰窗业
002988.SZ,豪美新材
688039.SH,当虹科技
301323.SZ,新莱福
688717.SH,艾罗能源
301069.SZ,凯盛新材
300801.SZ,泰和科技
688276.SH,百克生物
873726.BJ,卓兆点胶
002674.SZ,兴业科技
300196.SZ,长海股份
301125.SZ,腾亚精工
000811.SZ,冰轮环境
832662.BJ,方盛股份
301251.SZ,威尔高
002857.SZ,三晖电气
688017.SH,绿的谐波
688755.SH,汉邦科技
301389.SZ,隆扬电子
002174.SZ,游族网络
688035.SH,德邦科技
688210.SH,统联精密
300128.SZ,锦富技术
300486.SZ,东杰智能
688117.SH,圣诺生物
002044.SZ,美年健康
603679.SH,华体科技
301021.SZ,英诺激光
002104.SZ,恒宝股份
301225.SZ,恒勃股份
600353.SH,旭光电子
002459.SZ,晶澳科技
688046.SH,药康生物
688408.SH,中信博
430090.BJ,同辉信息
601615.SH,明阳智能
688691.SH,灿芯股份
300274.SZ,阳光电源
688556.SH,高测股份
300085.SZ,银之杰
603367.SH,辰欣药业
601929.SH,吉视传媒
002669.SZ,康达新材
300695.SZ,兆丰股份
000065.SZ,北方国际
300684.SZ,中石科技
301187.SZ,欧圣电气
002173.SZ,创新医疗
300136.SZ,信维通信
603606.SH,东方电缆
688520.SH,神州细胞
300047.SZ,天源迪科
301072.SZ,中捷精工
300499.SZ,高澜股份
002126.SZ,银轮股份
002342.SZ,巨力索具
601677.SH,明泰铝业
832171.BJ,志晟信息
603161.SH,科华控股
300246.SZ,宝莱特
831195.BJ,三祥科技
600143.SH,金发科技
605305.SH,中际联合
837592.BJ,华信永道
301020.SZ,密封科技
002062.SZ,宏润建设
300907.SZ,康平科技
688772.SH,珠海冠宇
301502.SZ,华阳智能
837821.BJ,则成电子
600298.SH,安琪酵母
300771.SZ,智莱科技
300739.SZ,明阳电路
301489.SZ,思泉新材
001400.SZ,江顺科技
300281.SZ,金明精机
603225.SH,新凤鸣
301510.SZ,固高科技
688221.SH,前沿生物-U
688484.SH,南芯科技
001268.SZ,联合精密
600095.SH,湘财股份
300683.SZ,海特生物
688433.SH,华曙高科
603155.SH,新亚强
300665.SZ,飞鹿股份
002850.SZ,科达利
002576.SZ,通达动力
688655.SH,迅捷兴
301040.SZ,中环海陆
688590.SH,新致软件
600176.SH,中国巨石
300432.SZ,富临精工
601702.SH,华峰铝业
300969.SZ,恒帅股份
300048.SZ,合康新能
688181.SH,八亿时空
002552.SZ,宝鼎科技
600458.SH,时代新材
838171.BJ,邦德股份
873706.BJ,铁拓机械
300942.SZ,易瑞生物
300637.SZ,扬帆新材
002579.SZ,中京电子
301377.SZ,鼎泰高科
600438.SH,通威股份
300236.SZ,上海新阳
600513.SH,联环药业
002885.SZ,京泉华
002943.SZ,宇晶股份
300772.SZ,运达股份
603308.SH,应流股份
300731.SZ,科创新源
603219.SH,富佳股份
300553.SZ,集智股份
603129.SH,春风动力
300985.SZ,致远新能
601727.SH,上海电气
002134.SZ,天津普林
301216.SZ,万凯新材
688512.SH,慧智微-U
603516.SH,淳中科技
300102.SZ,乾照光电
000980.SZ,众泰汽车
301067.SZ,显盈科技
002215.SZ,诺 普 信
001395.SZ,亚联机械
002219.SZ,新里程
301317.SZ,鑫磊股份
600699.SH,均胜电子
600201.SH,生物股份
603185.SH,弘元绿能
688401.SH,路维光电
002420.SZ,毅昌科技
300441.SZ,鲍斯股份
002048.SZ,宁波华翔
603112.SH,华翔股份
301338.SZ,凯格精机
832978.BJ,开特股份
688711.SH,宏微科技
301259.SZ,艾布鲁
301358.SZ,湖南裕能
430564.BJ,天润科技
300845.SZ,捷安高科
873833.BJ,美心翼申
301505.SZ,苏州规划
605133.SH,嵘泰股份
833751.BJ,惠同新材
601311.SH,骆驼股份
300677.SZ,英科医疗
301268.SZ,铭利达
300343.SZ,ST联创
600380.SH,健康元
688383.SH,新益昌
605208.SH,永茂泰
300706.SZ,阿石创
300017.SZ,网宿科技
300354.SZ,东华测试
430556.BJ,雅达股份
002217.SZ,合力泰
000679.SZ,大连友谊
688603.SH,天承科技
301209.SZ,联合化学
300990.SZ,同飞股份
002533.SZ,金杯电工
300118.SZ,东方日升
300606.SZ,金太阳
688303.SH,大全能源
301061.SZ,匠心家居
601099.SH,太平洋
301366.SZ,一博科技
688719.SH,爱科赛博
301100.SZ,风光股份
001288.SZ,运机集团
688625.SH,呈和科技
603124.SH,江南新材
301135.SZ,瑞德智能
688508.SH,芯朋微
603587.SH,地素时尚
300232.SZ,洲明科技
300109.SZ,新开源
000712.SZ,锦龙股份
603608.SH,天创时尚
300119.SZ,瑞普生物
600410.SH,华胜天成
603306.SH,华懋科技
000633.SZ,合金投资
688122.SH,西部超导
688300.SH,联瑞新材
002918.SZ,蒙娜丽莎
688428.SH,诺诚健华-U
300414.SZ,中光防雷
301606.SZ,绿联科技
300911.SZ,亿田智能
688721.SH,龙图光罩
600226.SH,亨通股份
002444.SZ,巨星科技
688567.SH,孚能科技
603739.SH,蔚蓝生物
