TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
000001.SZ,20250815,12.4,12.4,12.42,11.94,12.08,592376663,7234240082.59,-0.32,-0.02580645
000002.SZ,20250815,6.45,6.48,6.59,6.42,6.53,516354002,3353998385.7,0.08,0.0124031
000004.SZ,20250815,8.94,8.97,9.22,8.78,9.22,19144076,172694894.49,0.28,0.03131991
000006.SZ,20250815,6.51,6.63,7.8,6.5,7.33,539259085,3919416435.47,0.82,0.12596006
000007.SZ,20250815,7.52,7.52,7.68,7.2,7.33,43553441,324294933.02,-0.19,-0.02526596
000008.SZ,20250815,2.89,2.89,2.95,2.84,2.86,405447305,1176381304.31,-0.03,-0.01038062
000009.SZ,20250815,9.07,9.12,9.22,8.92,9.17,120488852,1097873207.4,0.1,0.01102536
000010.SZ,20250815,4.64,4.64,5.25,4.38,4.6,688554994,3259533358.46,-0.04,-0.00862069
000011.SZ,20250815,8.69,8.77,11.18,8.75,10.05,260167542,2652926485.41,1.36,0.15650173
000012.SZ,20250815,4.78,4.8,4.81,4.71,4.79,68183208,325455218.71,0.01,0.00209205
000014.SZ,20250815,12.52,12.59,15.7,12.51,15.18,167620550,2473863084.26,2.66,0.21246006
000016.SZ,20250815,4.93,4.93,5.53,4.91,5.33,801687648,4295170215.09,0.4,0.0811359
000017.SZ,20250815,6.37,6.37,6.73,6.33,6.42,111010400,723362670.11,0.05,0.00784929
000019.SZ,20250815,6.95,6.97,7.09,6.88,6.92,50704885,353940860.7,-0.03,-0.00431655
000020.SZ,20250815,13.79,13.86,14.53,13.75,13.9,27483588,386546808.01,0.11,0.00797679
000021.SZ,20250815,18.49,18.49,19.5,18.48,19.28,239085249,4594603333.14,0.79,0.0427258
000025.SZ,20250815,17.06,17.07,18.52,16.95,17.5,107324207,1910623388.64,0.44,0.02579132
000026.SZ,20250815,17.72,17.38,23.07,17.38,19.99,222578057,4571645946.83,2.27,0.12810384
000027.SZ,20250815,6.73,6.74,6.9,6.63,6.9,147925494,998249935.32,0.17,0.02526003
000028.SZ,20250815,25.57,25.6,26.01,25.55,25.82,19745943,508512474.58,0.25,0.00977708
000029.SZ,20250815,20.96,20.86,24.33,20.61,24.06,50363965,1135300059.31,3.1,0.14790076
000030.SZ,20250815,6.16,6.16,6.28,6.04,6.08,57400284,353027053.55,-0.08,-0.01298701
000031.SZ,20250815,3.05,3.05,3.2,3.05,3.19,116461277,365474870.4,0.14,0.04590164
000032.SZ,20250815,24.18,23.99,24.85,23.3,24.5,174229327,4188899418.27,0.32,0.01323408
000034.SZ,20250815,39.67,39.9,42.88,39.84,42.15,212582714,8793819308.01,2.48,0.06251575
000035.SZ,20250815,4.32,4.32,4.36,4.28,4.34,80643621,349311699.88,0.02,0.00462963
000036.SZ,20250815,3.61,3.61,4.24,3.59,4.13,222798731,881856357.15,0.52,0.14404432
000037.SZ,20250815,9.33,9.26,9.44,9.07,9.11,56895140,526398731.93,-0.22,-0.02357985
000039.SZ,20250815,8.18,8.2,8.22,7.98,8.1,228884310,1856002038.69,-0.08,-0.00977995
000042.SZ,20250815,8.71,8.72,9.07,8.49,8.71,51151606,449256339.98,0.0,0.0
001914.SZ,20250815,13.14,13.19,13.35,12.7,13.1,45952947,597976220.47,-0.04,-0.00304414
000045.SZ,20250815,10.89,10.92,12.28,10.92,11.33,136475350,1594620179.87,0.44,0.04040404
000048.SZ,20250815,16.15,16.22,16.61,15.85,15.93,30811702,500242271.09,-0.22,-0.01362229
000049.SZ,20250815,23.17,23.35,23.96,23.2,23.67,32610064,769498215.7,0.5,0.02157963
000050.SZ,20250815,9.38,9.42,9.8,9.39,9.51,119731146,1152245853.45,0.13,0.01385928
000055.SZ,20250815,4.22,4.23,4.28,4.14,4.14,53703546,226630401.3,-0.08,-0.01895735
000056.SZ,20250815,3.06,3.04,3.1,2.48,2.95,640947296,1805062791.79,-0.11,-0.03594771
000058.SZ,20250815,8.99,8.99,9.68,8.95,9.15,148619578,1377324058.37,0.16,0.01779755
000059.SZ,20250815,5.33,5.34,5.57,5.27,5.31,131192947,708136994.9,-0.02,-0.00375235
000060.SZ,20250815,4.92,4.93,5.08,4.88,5.05,279467032,1391416462.71,0.13,0.02642276
000061.SZ,20250815,6.68,6.68,6.91,6.59,6.69,65897883,444653426.57,0.01,0.00149701
000062.SZ,20250815,25.81,25.8,27.79,25.75,26.53,145655696,3899264093.55,0.72,0.02789616
000063.SZ,20250815,33.78,33.79,35.56,33.78,35.21,476248915,16611333832.69,1.43,0.04233274
000065.SZ,20250815,11.7,12.2,13.0,11.84,12.93,263772926,3236734834.09,1.23,0.10512821
000066.SZ,20250815,14.96,14.91,19.16,14.88,17.8,2075139958,35870231550.1,2.84,0.18983957
000068.SZ,20250815,3.52,3.52,4.04,3.51,4.04,165536899,618303725.05,0.52,0.14772727
000069.SZ,20250815,2.29,2.3,2.34,2.26,2.32,307779974,711106659.09,0.03,0.01310044
000070.SZ,20250815,8.23,8.55,11.77,8.36,10.69,711515605,7019596945.32,2.46,0.29890644
000078.SZ,20250815,2.71,2.7,2.83,2.63,2.66,200039749,542174852.52,-0.05,-0.01845018
000088.SZ,20250815,4.58,4.58,4.63,4.55,4.57,151990903,697902523.38,-0.01,-0.00218341
000089.SZ,20250815,7.25,7.25,7.31,7.12,7.2,61866601,446399151.1,-0.05,-0.00689655
000090.SZ,20250815,3.52,3.53,3.7,3.51,3.62,150946579,546627572.15,0.1,0.02840909
000096.SZ,20250815,12.1,12.1,12.42,11.96,12.04,53991607,658068751.86,-0.06,-0.00495868
000099.SZ,20250815,23.1,23.0,23.6,22.77,23.58,134564330,3125991741.81,0.48,0.02077922
000100.SZ,20250815,4.42,4.42,4.5,4.38,4.49,1118157341,4981402654.65,0.07,0.0158371
000151.SZ,20250815,12.86,12.83,13.15,12.71,12.91,25217818,326279203.23,0.05,0.00388802
000153.SZ,20250815,7.07,7.08,7.48,6.95,7.01,103279844,737693155.44,-0.06,-0.00848656
000155.SZ,20250815,10.18,10.55,10.63,10.13,10.25,113533567,1173610513.63,0.07,0.00687623
000156.SZ,20250815,8.24,8.2,8.44,8.12,8.33,75547393,626940362.33,0.09,0.01092233
000157.SZ,20250815,7.53,7.58,7.6,7.39,7.5,261790061,1961181467.44,-0.03,-0.00398406
000158.SZ,20250815,23.02,23.02,24.45,22.94,23.91,474863238,11250381899.33,0.89,0.03866203
000159.SZ,20250815,5.97,5.93,6.02,5.72,5.79,107947991,635414688.32,-0.18,-0.03015075
000166.SZ,20250815,5.36,5.35,5.58,5.34,5.54,612801108,3338520834.84,0.18,0.03358209
000301.SZ,20250815,8.9,8.94,8.98,8.6,8.92,61219455,539800569.56,0.02,0.00224719
000333.SZ,20250815,71.58,71.3,73.05,71.19,72.3,140329503,10125752017.29,0.72,0.01005868
000338.SZ,20250815,15.29,15.29,15.98,15.12,15.48,425464762,6605470764.18,0.19,0.01242642
000400.SZ,20250815,23.25,23.36,23.37,22.48,22.74,88261461,2023506498.76,-0.51,-0.02193548
000401.SZ,20250815,5.03,5.08,5.1,4.91,4.96,70058684,350719508.48,-0.07,-0.0139165
000402.SZ,20250815,2.95,2.98,3.08,2.95,3.02,183092009,552583308.17,0.07,0.02372881
000403.SZ,20250815,18.89,18.8,18.9,17.9,18.02,87830791,1608076256.74,-0.87,-0.04605611
000404.SZ,20250815,7.39,7.43,7.65,7.39,7.59,67298707,506857323.2,0.2,0.0270636
000407.SZ,20250815,3.58,3.59,3.63,3.49,3.51,72978364,260092477.3,-0.07,-0.01955307
000408.SZ,20250815,50.58,51.91,52.05,49.61,50.53,49976340,2525899264.93,-0.05,-0.00098853
000409.SZ,20250815,12.77,12.7,13.19,12.56,13.12,163603188,2096280791.02,0.35,0.02740799
000410.SZ,20250815,6.72,6.72,7.03,6.65,6.74,110746757,754139300.33,0.02,0.00297619
000411.SZ,20250815,11.29,11.26,11.55,11.2,11.31,31964333,363196506.47,0.02,0.00177148
000415.SZ,20250815,3.44,3.45,3.65,3.43,3.6,492023294,1749113011.46,0.16,0.04651163
000417.SZ,20250815,5.68,5.68,6.95,5.64,6.08,447475747,2865329137.3,0.4,0.07042254
000419.SZ,20250815,5.89,5.89,6.7,5.79,5.8,152232310,932513938.33,-0.09,-0.01528014
000420.SZ,20250815,4.17,4.18,4.21,4.08,4.19,424229295,1765129813.27,0.02,0.00479616
000421.SZ,20250815,6.79,6.78,6.86,6.56,6.61,55053820,369730835.4,-0.18,-0.02650957
000422.SZ,20250815,13.19,13.34,13.96,13.1,13.65,151123142,2039600353.7,0.46,0.03487491
000423.SZ,20250815,51.1,51.15,51.47,49.98,50.33,33207326,1683773951.28,-0.77,-0.01506849
000425.SZ,20250815,9.0,8.96,9.02,8.64,8.78,404109678,3568501963.21,-0.22,-0.02444444
000426.SZ,20250815,19.18,19.0,20.68,18.42,20.32,216397158,4240117499.52,1.14,0.05943691
000428.SZ,20250815,3.36,3.35,3.47,3.34,3.41,98660522,335127609.22,0.05,0.01488095
000429.SZ,20250815,12.6,12.59,12.62,12.0,12.07,42819531,524886825.01,-0.53,-0.04206349
000430.SZ,20250815,7.31,7.32,7.5,7.25,7.32,29039039,214066060.31,0.01,0.00136799
000488.SZ,20250815,2.37,2.33,2.36,2.17,2.22,343667853,779399300.13,-0.15,-0.06329114
000498.SZ,20250815,6.07,6.08,6.11,5.96,6.03,71825477,433258527.33,-0.04,-0.00658979
000501.SZ,20250815,11.68,11.69,12.1,10.52,12.1,502612481,5709251861.16,0.42,0.0359589
