iter	RMSE
0	0.1346894643
1	0.1341141427
2	0.1336976555
3	0.1332792678
4	0.132927824
5	0.1324858918
6	0.1322413477
7	0.1320847621
8	0.1317652985
9	0.1316364408
10	0.1314802333
11	0.1313143442
12	0.1311908165
13	0.1309731813
14	0.1308304187
15	0.1307648511
16	0.1306601324
17	0.1305150789
18	0.1303101962
19	0.130178932
20	0.1300496122
21	0.1299527851
22	0.1298661182
23	0.1297822987
24	0.129643437
25	0.1295437157
26	0.1294478641
27	0.1293514003
28	0.1292732158
29	0.1291904342
30	0.1291088568
31	0.1289883433
32	0.1288884183
33	0.1287381691
34	0.1286567704
35	0.1285702378
36	0.1284360661
37	0.1283310575
38	0.1282343304
39	0.1280879515
40	0.1280029313
41	0.1278753525
42	0.1277717924
43	0.1277126592
44	0.1275955662
45	0.1275061412
46	0.1273297258
47	0.1272322278
48	0.1270930234
49	0.1270006765
50	0.1269254728
51	0.126794267
