iter	Passed	Remaining
0	37	7481
1	74	7336
2	108	7143
3	148	7274
4	183	7150
5	214	6927
6	250	6908
7	288	6935
8	333	7085
9	367	6977
10	403	6927
11	443	6953
12	480	6904
13	519	6907
14	561	6930
15	595	6846
16	627	6753
17	661	6693
18	698	6650
19	737	6634
20	771	6571
21	806	6527
22	845	6507
23	881	6462
24	915	6407
25	948	6350
26	994	6373
27	1038	6379
28	1075	6340
29	1109	6286
30	1145	6242
31	1187	6233
32	1237	6260
33	1289	6297
34	1339	6314
35	1380	6288
36	1429	6296
37	1472	6279
38	1514	6254
39	1561	6245
40	1594	6183
41	1641	6175
42	1690	6173
43	1728	6128
44	1764	6078
45	1808	6054
46	1856	6041
47	1904	6032
48	1941	5982
49	1975	5927
50	2009	5869
51	2045	5822
