,level,file_name,factor_name,init_date,category0,category1,description,min_date,max_date
0,level1,fundamental/valuation_augment,btop_augment,20110101,fundamental,value,btop增强因子,20110104,20250115
1,level1,fundamental/valuation_augment,cfev_augment,20110101,fundamental,value,cfev增强因子,20110104,20250115
2,level1,fundamental/valuation_augment,etop_augment,20110101,fundamental,value,etop增强因子,20110104,20250115
3,level1,fundamental/valuation_augment,valuation_augment,20110101,fundamental,value,估值增强因子,20110104,20250115
4,level0,analyst/adjustment,rec_npro_12m,20110101,analyst,adjustment,12个月盈利预测上调幅度,20110104,20250115
5,level0,analyst/adjustment,rec_npro_3m,20110101,analyst,adjustment,3个月盈利预测上调幅度,20110104,20250115
6,level0,analyst/adjustment,rec_npro_6m,20110101,analyst,adjustment,6个月盈利预测上调幅度,20110104,20250115
7,level0,analyst/adjustment,rec_npro_6m_anndt,20110101,analyst,adjustment,"6个月盈利预测上调幅度,公告日后7天",20110104,20250115
8,level0,analyst/adjustment,upnum_npro_12m,20110101,analyst,adjustment,12个月分析师盈利上修数量,20110104,20250115
9,level0,analyst/adjustment,upnum_npro_3m,20110101,analyst,adjustment,3个月分析师盈利上修数量,20110104,20250115
10,level0,analyst/adjustment,upnum_npro_6m,20110101,analyst,adjustment,6个月分析师盈利上修数量,20110104,20250115
11,level0,analyst/adjustment,upnum_npro_6m_anndt,20110101,analyst,adjustment,"6个月分析师盈利上修数量,公告日后7天",20110104,20250115
12,level0,analyst/adjustment,uppct_npro_12m,20110101,analyst,adjustment,12个月分析师盈利上修占比,20110104,20250115
13,level0,analyst/adjustment,uppct_npro_3m,20110101,analyst,adjustment,3个月分析师盈利上修占比,20110104,20250115
14,level0,analyst/adjustment,uppct_npro_6m,20110101,analyst,adjustment,6个月分析师盈利上修占比,20110104,20250115
15,level0,analyst/adjustment,uppct_npro_6m_anndt,20110101,analyst,adjustment,"6个月分析师盈利上修占比,公告日后7天",20110104,20250115
16,level0,analyst/coverage,cov_inst_12m,20110101,analyst,coverage,12个月区间内覆盖股票机构数量,20110104,20250115
17,level0,analyst/coverage,cov_inst_12m_anndt,20110101,analyst,coverage,"12个月区间内覆盖股票机构数量,公告日后7天",20110104,20250115
18,level0,analyst/coverage,cov_inst_3m,20110101,analyst,coverage,3个月区间内覆盖股票机构数量,20110104,20250115
19,level0,analyst/coverage,cov_inst_6m,20110101,analyst,coverage,6个月区间内覆盖股票机构数量,20110104,20250115
20,level0,analyst/coverage,cov_report_12m,20110101,analyst,coverage,12个月区间内覆盖股票报告数量,20110104,20250115
21,level0,analyst/coverage,cov_report_3m,20110101,analyst,coverage,3个月区间内覆盖股票报告数量,20110104,20250115
22,level0,analyst/coverage,cov_report_6m,20110101,analyst,coverage,6个月区间内覆盖股票报告数量,20110104,20250115
23,level0,analyst/forecast,epg_est,20110101,analyst,forecast,PEG一致预期值,20110104,20250115
24,level0,analyst/forecast,eps_est_pct3m,20110101,analyst,forecast,3个月EPS一致预期变化,20110104,20250115
25,level0,analyst/forecast,eps_est_pct6m,20110101,analyst,forecast,6个月EPS一致预期变化,20110104,20250115
26,level0,analyst/forecast,eps_ftm_pct3m,20110101,analyst,forecast,3个月EPSFTM一致预期值变化,20110104,20250115
27,level0,analyst/forecast,eps_ftm_pct6m,20110101,analyst,forecast,6个月EPSFTM一致预期值变化,20110104,20250115
28,level0,analyst/forecast,etop_est,20110101,analyst,forecast,归母净利润/市值一致预期值,20110104,20250115
29,level0,analyst/forecast,etop_est_pct3m,20110101,analyst,forecast,3个月归母净利润/市值一致预期变化,20110104,20250115
30,level0,analyst/forecast,etop_est_pct6m,20110101,analyst,forecast,6个月归母净利润/市值一致预期变化,20110104,20250115
31,level0,analyst/forecast,npro_cagr1y_est,20110101,analyst,forecast,1年归母净利润CAGR一致预期值,20110104,20250115
32,level0,analyst/forecast,npro_cagr2y_est,20110101,analyst,forecast,2年归母净利润CAGR一致预期值,20110104,20250115
33,level0,analyst/forecast,optop_est,20110101,analyst,forecast,营业利润/市值一致预期值,20110104,20250115
34,level0,analyst/forecast,optop_est_pct3m,20110101,analyst,forecast,3个月营业利润/市值一致预期变化,20110104,20250115
35,level0,analyst/forecast,optop_est_pct6m,20110101,analyst,forecast,6个月营业利润/市值一致预期变化,20110104,20250115
36,level0,analyst/forecast,price_potential,20110101,analyst,forecast,分析师评级一致目标价空间,20110104,20250115
37,level0,analyst/forecast,roe_est,20110101,analyst,forecast,净资产收益率一致预期值,20110104,20250115
38,level0,analyst/forecast,sales_cagr1y_est,20110101,analyst,forecast,1年营业收入CAGR一致预期值,20110104,20250115
39,level0,analyst/forecast,sales_cagr2y_est,20110101,analyst,forecast,2年营业收入CAGR一致预期值,20110104,20250115
40,level0,analyst/forecast,stop_est,20110101,analyst,forecast,营业收入/市值一致预期值,20110104,20250115
41,level0,analyst/forecast,stop_est_pct3m,20110101,analyst,forecast,3个月营业收入/市值一致预期变化,20110104,20250115
42,level0,analyst/forecast,stop_est_pct6m,20110101,analyst,forecast,6个月营业收入/市值一致预期变化,20110104,20250115
43,level0,analyst/forecast,tptop_est,20110101,analyst,forecast,利润总额/市值一致预期值,20110104,20250115
44,level0,analyst/forecast,tptop_est_pct3m,20110101,analyst,forecast,3个月利润总额/市值一致预期变化,20110104,20250115
45,level0,analyst/forecast,tptop_est_pct6m,20110101,analyst,forecast,6个月利润总额/市值一致预期变化,20110104,20250115
46,level0,analyst/surprise,outperform_npro,20110101,analyst,surprise,单季度净利润超预期幅度,20110104,20250115
47,level0,analyst/surprise,outperform_sales,20110101,analyst,surprise,单季度营业收入超预期幅度,20110104,20250115
48,level0,analyst/surprise,outperform_title,20110101,analyst,surprise,研报标题超预期个数,20110104,20250115
49,level0,analyst/surprise,outperform_titlepct,20110101,analyst,surprise,研报标题超预期比例,20110104,20250115
50,level0,behavior/behavior_anndt,anndt_phigh,20110101,behavior,momentum,公告日最高价距离,20110104,20250115
51,level0,behavior/behavior_anndt,mom_aaa,20110101,behavior,momentum,公告日后3日超额收益,20110104,20250115
52,level0,behavior/behavior_anndt,mom_aog,20110101,behavior,momentum,公告日次日超额收益,20110104,20250115
53,level0,behavior/behavior_ff3,ff_alpha_12m,20110101,behavior,momentum,12个月ff3模型alpha,20110104,20250115
54,level0,behavior/behavior_ff3,ff_alpha_1m,20110101,behavior,momentum,1个月ff3模型alpha,20110104,20250115
55,level0,behavior/behavior_ff3,ff_alpha_2m,20110101,behavior,momentum,2个月ff3模型alpha,20110104,20250115
56,level0,behavior/behavior_ff3,ff_alpha_3m,20110101,behavior,momentum,3个月ff3模型alpha,20110104,20250115
57,level0,behavior/behavior_ff3,ff_alpha_6m,20110101,behavior,momentum,6个月ff3模型alpha,20110104,20250115
58,level0,behavior/behavior_ff3,ff_mom_12m,20110101,behavior,momentum,12个月ff3残差动量,20110104,20250115
59,level0,behavior/behavior_ff3,ff_mom_1m,20110101,behavior,momentum,1个月ff3残差动量,20110104,20250115
60,level0,behavior/behavior_ff3,ff_mom_2m,20110101,behavior,momentum,2个月ff3残差动量,20110104,20250115
61,level0,behavior/behavior_ff3,ff_mom_3m,20110101,behavior,momentum,3个月ff3残差动量,20110104,20250115
62,level0,behavior/behavior_ff3,ff_mom_6m,20110101,behavior,momentum,6个月ff3残差动量,20110104,20250115
63,level0,behavior/behavior_ff3,ff_r2_12m,20110101,behavior,correlation,12个月ff3模型R2,20110104,20250115
64,level0,behavior/behavior_ff3,ff_r2_1m,20110101,behavior,correlation,1个月ff3模型R2,20110104,20250115
65,level0,behavior/behavior_ff3,ff_r2_2m,20110101,behavior,correlation,2个月ff3模型R2,20110104,20250115
66,level0,behavior/behavior_ff3,ff_r2_3m,20110101,behavior,correlation,3个月ff3模型R2,20110104,20250115
67,level0,behavior/behavior_ff3,ff_r2_6m,20110101,behavior,correlation,6个月ff3模型R2,20110104,20250115
68,level0,behavior/behavior_ff3,ff_reskurt_12m,20110101,behavior,volatility,12个月ff3模型残差峰度,20110104,20250115
69,level0,behavior/behavior_ff3,ff_reskurt_1m,20110101,behavior,volatility,1个月ff3模型残差峰度,20110104,20250115
70,level0,behavior/behavior_ff3,ff_reskurt_2m,20110101,behavior,volatility,2个月ff3模型残差峰度,20110104,20250115
71,level0,behavior/behavior_ff3,ff_reskurt_3m,20110101,behavior,volatility,3个月ff3模型残差峰度,20110104,20250115
72,level0,behavior/behavior_ff3,ff_reskurt_6m,20110101,behavior,volatility,6个月ff3模型残差峰度,20110104,20250115
73,level0,behavior/behavior_ff3,ff_resskew_12m,20110101,behavior,volatility,12个月ff3模型残差偏度,20110104,20250115
74,level0,behavior/behavior_ff3,ff_resskew_1m,20110101,behavior,volatility,1个月ff3模型残差偏度,20110104,20250115
75,level0,behavior/behavior_ff3,ff_resskew_2m,20110101,behavior,volatility,2个月ff3模型残差偏度,20110104,20250115
76,level0,behavior/behavior_ff3,ff_resskew_3m,20110101,behavior,volatility,3个月ff3模型残差偏度,20110104,20250115
77,level0,behavior/behavior_ff3,ff_resskew_6m,20110101,behavior,volatility,6个月ff3模型残差偏度,20110104,20250115
78,level0,behavior/behavior_ff3,ff_resvol_12m,20110101,behavior,volatility,12个月ff3模型残差波动率,20110104,20250115
79,level0,behavior/behavior_ff3,ff_resvol_1m,20110101,behavior,volatility,1个月ff3模型残差波动率,20110104,20250115
80,level0,behavior/behavior_ff3,ff_resvol_2m,20110101,behavior,volatility,2个月ff3模型残差波动率,20110104,20250115
81,level0,behavior/behavior_ff3,ff_resvol_3m,20110101,behavior,volatility,3个月ff3模型残差波动率,20110104,20250115
82,level0,behavior/behavior_ff3,ff_resvol_6m,20110101,behavior,volatility,6个月ff3模型残差波动率,20110104,20250115
83,level0,behavior/behavior_slice,ampl_slicecp1m,20110101,behavior,momentum,1个月振幅(收盘价切分，较大),20110104,20250115
84,level0,behavior/behavior_slice,beta_slicevol1m,20110101,behavior,correlation,1个月beta差(成交量切分，较大-较小),20110104,20250115
85,level0,behavior/behavior_slice,corr_slicevol1m,20110101,behavior,correlation,1个月corr差(成交量切分，较大-较小),20110104,20250115
86,level0,behavior/behavior_slice,mom_ltampl_v1,20110101,behavior,momentum,160日长端动量(低振幅),20110104,20250115
87,level0,behavior/behavior_slice,mom_ltampl_v2,20110101,behavior,momentum,160日长端动量(低振幅)v2,20110104,20250115
88,level0,behavior/behavior_slice,mom_slicevol1m,20110101,behavior,momentum,1个月理想反转(成交量切分，较大-较小),20110104,20250115
89,level0,behavior/behavior_slice,skew_slicevol1m,20110101,behavior,momentum,1个月skew差(成交量切分，较大-较小),20110104,20250115
90,level0,behavior/correlation_beta,beta_12m,20110101,behavior,correlation,12个月贝塔,20110104,20250115
91,level0,behavior/correlation_beta,beta_1m,20110101,behavior,correlation,1个月贝塔,20110104,20250115
92,level0,behavior/correlation_beta,beta_2m,20110101,behavior,correlation,2个月贝塔,20110104,20250115
93,level0,behavior/correlation_beta,beta_3m,20110101,behavior,correlation,3个月贝塔,20110104,20250115
94,level0,behavior/correlation_beta,beta_6m,20110101,behavior,correlation,6个月贝塔,20110104,20250115
