factor,mean,min,max,std
Factor level0/analyst/forecast/optop_est_pct6m,887.0648012,37,1817,366.3805692
Factor level0/money_flow/holding/holding_top_addmv,295.8880707,155,640,98.08427156
Factor level0/money_flow/holding/holding_top_addnum,295.8880707,155,640,98.08427156
Factor level0/analyst/forecast/tptop_est_pct6m,1752.837997,185,2865,441.5067226
Factor level0/analyst/forecast/stop_est_pct6m,1788.799705,215,2900,440.808962
Factor level0/money_flow/holding/holding_top_median,415.1399116,219,652,125.5474837
Factor level0/money_flow/holding/holding_top_mv,415.1399116,219,652,125.5474837
Factor level0/money_flow/holding/holding_top_num,415.1399116,219,652,125.5474837
Factor level0/money_flow/holding/holding_act_weight,1341.693667,222,2879,626.7804519
Factor level0/money_flow/holding/holding_rel_median,1341.693667,222,2879,626.7804519
Factor level0/money_flow/holding/holding_rel_weight,1341.693667,222,2879,626.7804519
Factor level0/money_flow/holding/holding_median,1379.166421,228,2880,617.8137138
Factor level0/money_flow/holding/holding_mv,1379.166421,228,2880,617.8137138
Factor level0/money_flow/holding/holding_mv_ratio,1379.166421,228,2880,617.8137138
Factor level0/money_flow/holding/holding_num,1379.166421,228,2880,617.8137138
Factor level0/analyst/forecast/optop_est_pct3m,1004.820324,321,1878,389.0727008
Factor level0/analyst/forecast/etop_est_pct6m,1847.891016,370,2906,412.2912056
Factor level0/analyst/forecast/eps_pct6m_est,1967.496318,390,2905,349.9969527
Factor level1/fundamental/value/cfev_augment,2056.740795,664,3831,801.0999632
Factor level0/analyst/forecast/price_potential,1745.65243,697,2544,395.7501222
Factor level0/analyst/forecast/tptop_est_pct3m,1943.349043,719,3095,472.478459
Factor level1/fundamental/value/btop_augment,1662.275405,720,2550,492.0605754
Factor level0/analyst/adjustment/rec_npro_6m_anndt,1471.782032,742,2505,405.5062784
Factor level0/analyst/adjustment/upnum_npro_6m_anndt,1471.936672,742,2505,405.5703117
Factor level0/analyst/adjustment/uppct_npro_6m_anndt,1471.936672,742,2505,405.5703117
Factor level0/analyst/forecast/stop_est_pct3m,1983.830633,748,3122,472.3428638
Factor level0/analyst/forecast/etop_est_pct3m,2067.95729,804,3130,435.7959756
Factor level0/high_frequency/hf_volatility/inday_kurt_5min,3134.357879,845,5008,1139.787284
Factor level0/high_frequency/hf_volatility/inday_skewness_5min,3134.357879,845,5008,1139.787284
Factor level0/fundamental/value/dtop_rank3y,2167.108984,848,3322,619.4654227
Factor level0/fundamental/value/dtop,2180.82327,848,3322,619.1013075
Factor level0/fundamental/value/dtop_rank1y,2180.82327,848,3322,619.1013075
Factor level0/high_frequency/hf_correlation/inday_ret_autocorr_std,3139.537555,909,5006,1139.086066
Factor level0/high_frequency/hf_correlation/inday_vol_ret1_corr_std,3141.699558,911,5009,1140.95627
Factor level0/high_frequency/hf_correlation/inday_mkt_beta_std,3141.739323,912,5009,1140.961988
Factor level0/high_frequency/hf_correlation/inday_mkt_corr_std,3141.739323,912,5009,1140.961988
Factor level0/high_frequency/hf_correlation/inday_ret_autocorr,3140.656848,922,5008,1138.978194
Factor level0/high_frequency/hf_correlation/inday_vol_ret1_corr,3142.829161,924,5009,1140.856033
Factor level0/high_frequency/hf_correlation/inday_mkt_beta,3142.868925,925,5009,1140.86177
Factor level0/high_frequency/hf_correlation/inday_mkt_corr,3142.868925,925,5009,1140.86177
Factor level0/high_frequency/hf_volatility/inday_kurt_1min,3142.868925,925,5009,1140.86177
Factor level0/high_frequency/hf_volatility/inday_skewness_1min,3142.868925,925,5009,1140.86177
Factor level0/analyst/surprise/outperform_sales,1484.731959,939,2714,444.7129319
Factor level0/analyst/surprise/outperform_npro,1628.493373,955,2772,429.0089384
Factor level0/analyst/adjustment/rec_npro_3m,1545.472754,956,2580,346.2173794
Factor level0/analyst/adjustment/upnum_npro_3m,1545.739323,957,2580,346.1516004
Factor level0/analyst/adjustment/uppct_npro_3m,1545.739323,957,2580,346.1516004
Factor level1/fundamental/value/etop_augment,2029.22975,985,3026,599.1685219
Factor level0/high_frequency/hf_correlation/inday_vol_vwap_corr_std,3178.201767,994,5044,1141.608131
Factor level0/high_frequency/hf_correlation/inday_vol_autocorr_std,3237.141384,996,5102,1148.385132
Factor level0/high_frequency/hf_correlation/inday_vol_vwap_corr,3179.427099,997,5045,1141.436541
Factor level0/high_frequency/hf_correlation/inday_vol_autocorr,3238.468336,999,5103,1148.191918
Factor level0/high_frequency/hf_liquidity/inday_smart_money,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_stupid_money,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_vol_coefvar,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_vol_end15min,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_vol_st5min,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_volpct_devhigh,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_volpct_phigh,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_liquidity/inday_volpct_plow,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_volatility/inday_vol_std_1min,3238.528719,999,5103,1148.16661
Factor level0/high_frequency/hf_volatility/inday_vol_std_5min,3238.603829,999,5103,1148.286727
Factor level0/analyst/forecast/epg_est,2282.547865,1048,3325,467.1167386
Factor level0/analyst/forecast/etop_est,2359.624448,1102,3335,435.7364857
Factor level0/analyst/forecast/optop_est,2359.624448,1102,3335,435.7364857
Factor level0/analyst/forecast/stop_est,2359.624448,1102,3335,435.7364857
Factor level0/analyst/forecast/tptop_est,2359.624448,1102,3335,435.7364857
Factor level0/money_flow/trading/bsact_neg_1m,3339.216495,1194,5112,1078.598867
Factor level0/money_flow/trading/bsact_pos_1m,3339.216495,1194,5112,1078.598867
Factor level0/fundamental/value/dtop_stability,2739.807069,1288,3802,738.4334887
Factor level0/fundamental/value/fcfetop_qtr_rank3y,3320.147275,1296,5262,1082.463112
Factor level0/fundamental/value/fcfetop_qtr,3339.139912,1296,5267,1088.108895
Factor level0/fundamental/value/fcfetop_qtr_rank1y,3339.460972,1296,5268,1088.067737
Factor level0/fundamental/value/fcfetop_ttm,3340.148748,1297,5268,1087.70367
Factor level0/fundamental/value/fcfetop_ttm_rank1y,3340.721649,1297,5268,1087.499866
Factor level0/fundamental/value/fcfetop_ttm_rank3y,3321.895434,1298,5263,1081.755569
Factor level0/fundamental/value/ebitdaev_ttm_rank3y,3381.438881,1338,5355,1104.879851
Factor level0/fundamental/value/cfev_rank3y,3381.67894,1338,5360,1105.271894
Factor level0/fundamental/value/cfev_ttm_rank3y,3381.67894,1338,5360,1105.271894
Factor level0/fundamental/value/cfotop_rank3y,3381.67894,1338,5360,1105.271894
Factor level0/fundamental/value/cfotop_ttm_rank3y,3381.67894,1338,5360,1105.271894
Factor level0/fundamental/value/ebitev_ttm_rank3y,3382.206186,1338,5360,1106.204127
Factor level0/fundamental/value/stop_rank3y,3382.637703,1338,5360,1106.994594
Factor level0/fundamental/value/stop_ttm_rank3y,3382.637703,1338,5360,1106.994594
Factor level0/fundamental/value/etop_rank3y,3382.756996,1338,5360,1107.15651
Factor level0/fundamental/value/etop_ttm_rank3y,3382.756996,1338,5360,1107.15651
Factor level0/fundamental/value/btop_rank3y,3382.782032,1338,5360,1107.23198
Factor level0/fundamental/value/etop_dedt_ttm_rank3y,3383.349043,1338,5360,1106.876659
Factor level0/fundamental/value/ebitdaev_ttm,3401.810015,1339,5359,1109.219974
Factor level0/fundamental/value/ebitdaev_ttm_rank1y,3401.967599,1339,5359,1109.266087
Factor level0/fundamental/value/cfev,3402.04271,1339,5345,1109.349427
Factor level0/fundamental/value/cfotop,3402.04271,1339,5345,1109.349427
Factor level0/fundamental/value/cfev_rank1y,3402.054492,1339,5345,1109.369346
Factor level0/fundamental/value/cfotop_rank1y,3402.054492,1339,5345,1109.369346
Factor level0/fundamental/value/cfev_ttm_rank1y,3402.082474,1339,5345,1109.417542
Factor level0/fundamental/value/cfotop_ttm_rank1y,3402.082474,1339,5345,1109.417542
Factor level0/fundamental/value/cfev_ttm,3402.092784,1339,5345,1109.43946
Factor level0/fundamental/value/cfotop_ttm,3402.092784,1339,5345,1109.43946
Factor level0/fundamental/value/ebitev_ttm,3402.789396,1339,5366,1110.714703
Factor level0/fundamental/value/ebitev_ttm_rank1y,3402.824742,1339,5366,1110.72331
Factor level0/fundamental/value/btop,3403.257732,1339,5361,1112.134438
Factor level0/fundamental/value/stop,3403.400589,1339,5365,1111.894751
Factor level0/fundamental/value/btop_rank1y,3403.424153,1339,5361,1112.155444
Factor level0/fundamental/value/stop_ttm,3403.499264,1339,5366,1111.985989
Factor level0/fundamental/value/stop_rank1y,3403.531664,1339,5365,1111.983942
Factor level0/fundamental/value/stop_ttm_rank1y,3403.556701,1339,5366,1112.018953
Factor level0/fundamental/value/etop_ttm,3403.650957,1339,5366,1112.192533
Factor level0/fundamental/value/etop,3403.670103,1339,5366,1112.187637
Factor level0/fundamental/value/etop_rank1y,3403.693667,1339,5366,1112.201998
Factor level0/fundamental/value/etop_ttm_rank1y,3403.693667,1339,5366,1112.201998
Factor level0/behavior/liquidity/lncap_free,3403.702504,1339,5366,1112.372302
Factor level0/behavior/liquidity/lockedstk,3403.702504,1339,5366,1112.372302
Factor level0/fundamental/value/etop_dedt_ttm,3404.266568,1339,5366,1111.947492
Factor level0/fundamental/value/etop_dedt_ttm_rank1y,3404.266568,1339,5366,1111.947492
Factor level0/behavior/liquidity/lncap,3404.337261,1339,5366,1111.956308
Factor level0/behavior/liquidity/lncap_liq,3404.337261,1339,5366,1111.956308
Factor level0/behavior/momentum/mom_phigh1m,3404.337261,1339,5366,1111.956308
Factor level0/behavior/momentum/price_weivol1m,3404.337261,1339,5366,1111.956308
Factor level0/analyst/adjustment/rec_npro_6m,1822.745214,1360,2702,352.3260527
Factor level0/analyst/adjustment/upnum_npro_6m,1823.178203,1360,2702,352.1488092
Factor level0/analyst/adjustment/uppct_npro_6m,1823.178203,1360,2702,352.1488092
Factor level0/high_frequency/hf_momentum/inday_trend_std,3245.452135,1399,5054,1086.096897
Factor level0/high_frequency/hf_momentum/inday_trend_avg,3247.671576,1417,5054,1085.340369
Factor level0/analyst/forecast/eps_est_pct3m,2190.324006,1535,3132,365.7446695
Factor level0/analyst/surprise/outperform_title,1980.645066,1538,2821,355.3641438
Factor level0/analyst/surprise/outperform_titlepct,1980.645066,1538,2821,355.3641438
Factor level0/behavior/momentum/mom_aog,3123.343152,1548,5142,964.2051437
Factor level0/behavior/momentum/mom_aaa,3132.384389,1562,5148,965.3296735
Factor level0/analyst/forecast/eps_ftm_pct6m,2228.297496,1572,3132,354.2365423
Factor level0/analyst/adjustment/rec_npro_12m,2058.814433,1576,2938,380.3480292
Factor level0/analyst/adjustment/upnum_npro_12m,2059.438881,1577,2938,380.043091
Factor level0/analyst/adjustment/uppct_npro_12m,2059.438881,1577,2938,380.043091
Factor level0/behavior/volatility/exret_std1m,3186.318115,1619,5167,969.4248799
Factor level0/behavior/volatility/exret_std2m,3199.509573,1622,5173,968.2652703
Factor level0/behavior/volatility/exret_std3m,3209.730486,1624,5178,968.2347421
Factor level0/behavior/volatility/exret_std6m,3230.721649,1630,5211,971.8871057
Factor level0/behavior/volatility/exret_std12m,3260.921944,1685,5248,978.1542419
Factor level0/analyst/forecast/eps_ftm_pct3m,2328.095729,1730,3235,375.5945234
Factor level1/fundamental/value/valuation_augment,3195.402062,1743,5020,997.0936861
Factor level0/analyst/forecast/sales_cagr2y_est,2330.843888,1749,3325,435.6345818
Factor level0/analyst/forecast/npro_cagr2y_est,2331.410898,1750,3327,435.9700748
