CH_NM,EN_NM
农林牧渔,Agriculture
银行,Bank
建筑,BuildingDecoration
基础化工,ChemicalIndustry
煤炭,Coal
商贸零售,CommercialTrade
交通运输,CommunicationsAndTransportation
计算机,Computer
建材,ConstructionAndMaterial
国防军工,DefenseIndustry
有色金属,DiversifiedMetal
电力设备及新能源,ElectricalEquip
电子,ElectricalIndustry
食品饮料,FoodAndBeverage
石油石化,Gasoline
家电,HouseholdAppliances
消费者服务,LeisureServices
轻工制造,LightManufacturing
机械,Machinary
医药,MedicationAndBio
钢铁,Metal
汽车,MotorVehicle
传媒,MultiMedia
非银行金融,NonBankFinancial
电力及公用事业,PublicUtility
房地产,RealEstate
综合金融,SynFinance
综合,Synthetics
通信,Telecoms
纺织服装,TextileAndGarment
