name,stage,db_src,db_key,family,window,agg,daily_src,hf_factor,formula
amt,daily,min_chars,min_chars,px,1,same_day,,,sum(amount)
twap,daily,min_chars,min_chars,px,1,same_day,,,mean(close)
vwap,daily,min_chars,min_chars,px,1,same_day,,,sum(amount)/sum(volume); fill last close
bwap,daily,min_chars,min_chars,flow,1,same_day,,,sum(buy_amt*px)/sum(buy_amt)
swap,daily,min_chars,min_chars,flow,1,same_day,,,sum(sell_amt*px)/sum(sell_amt)
bamt,daily,min_chars,min_chars,flow,1,same_day,,,sum(amount) where ret>0 (flat split 50/50)
samt,daily,min_chars,min_chars,flow,1,same_day,,,sum(amount) where ret<0 (flat split 50/50)
ret_path,daily,min_chars,min_chars,flow,1,same_day,,,(prod(1+ret)-1)*100
bopct,daily,min_chars,min_chars,flow,1,same_day,,,bamt/(bamt+samt)*100
amt_ca,daily,min_chars,min_chars,approx,1,same_day,,,sum(amount) for minute>=237
ret_std,daily,min_chars,min_chars,rv,1,same_day,,inday_std_1min;mom_high_pstd;vol_high_std,std(ret)
ret_skew,daily,min_chars,min_chars,rv,1,same_day,,inday_skewness_1min,"skew(ret), n>=3"
ret_kurt,daily,min_chars,min_chars,rv,1,same_day,,inday_kurt_1min,"kurtosis(ret, fisher=False), n>=3"
vol_std,daily,min_chars,min_chars,rv,1,same_day,,inday_vol_utd,std(volume)
vol_hhi,daily,min_chars,min_chars,rv,1,same_day,,,n*sum(volume^2)/sum(volume)^2
ret_jump,daily,min_chars,min_chars,rv,1,same_day,,,ret*100 of max |ret| bar
bopct_h1,daily,min_chars,min_chars,flow,1,same_day,,,bopct of sess=0 (09:30-10:00)
ret_topk_mean,daily,min_chars,min_chars,rv,1,same_day,,inday_err_ret,mean(ret) above top_k(5) threshold
ret_maxdd,daily,min_chars,min_chars,rv,1,same_day,,inday_maxdd,max(1-low/cum_high)
ret_vardown,daily,min_chars,min_chars,rv,1,same_day,,inday_vardown_1min,std(ret|ret<0)/std(ret)
vol_cv,daily,min_chars,min_chars,rv,1,same_day,,inday_vol_std_1min;inday_vol_coefvar;mom_high_volcv,std(volume)/mean(volume)
ret_std5,daily,min_chars,min_chars,rv,1,same_day,,inday_std_5min,std(ret) on minute//5 bars
ret_skew5,daily,min_chars,min_chars,rv,1,same_day,,inday_skewness_5min,skew(ret) on 5-min bars
ret_kurt5,daily,min_chars,min_chars,rv,1,same_day,,inday_kurt_5min,Pearson kurtosis on 5-min bars
ret_vardown5,daily,min_chars,min_chars,rv,1,same_day,,vardown_intra5min,downside std ratio on 5-min bars
vol_cv5,daily,min_chars,min_chars,rv,1,same_day,,inday_vol_std_5min,volume CV on 5-min bars
mkt_beta,daily,min_chars,min_chars,corr,1,same_day,,inday_mkt_beta;inday_mkt_beta_std,"corr(ret,mkt)*std(ret)/std(mkt)"
mkt_corr,daily,min_chars,min_chars,corr,1,same_day,,inday_mkt_corr;inday_mkt_corr_std,"corr(ret,mkt)"
ret_autocorr,daily,min_chars,min_chars,corr,1,same_day,,inday_ret_autocorr;inday_ret_autocorr_std,"corr(ret, ret.shift1)"
vol_autocorr,daily,min_chars,min_chars,corr,1,same_day,,inday_vol_autocorr;inday_vol_autocorr_std,"corr(volume, volume.shift1)"
vol_retlag_corr,daily,min_chars,min_chars,corr,1,same_day,,inday_vol_ret1_corr;inday_vol_ret1_corr_std,"corr(volume, ret.shift1)"
vol_vwap_corr,daily,min_chars,min_chars,corr,1,same_day,,inday_vol_vwap_corr;inday_vol_vwap_corr_std,"corr(volume, px)"
smart_money,daily,min_chars,min_chars,liq,1,same_day,,inday_smart_money,volume share of next-ret rank top 10%
stupid_money,daily,min_chars,min_chars,liq,1,same_day,,inday_stupid_money,volume share of next-ret rank bottom 10%
vol_end15_share,daily,min_chars,min_chars,liq,1,same_day,,inday_vol_end15min,volume share minute>=225
vol_open5_share,daily,min_chars,min_chars,liq,1,same_day,,inday_vol_st5min,volume share minute<5
vol_highrank_share,daily,min_chars,min_chars,liq,1,same_day,,inday_volpct_phigh,volume share of volume-rank>=90%
vol_lowrank_share,daily,min_chars,min_chars,liq,1,same_day,,inday_volpct_plow,volume share of volume-rank<=10%
vol_highdev_share,daily,min_chars,min_chars,liq,1,same_day,,inday_volpct_devhigh,volume share of |dclose|/max>=90%
ret_am,daily,min_chars,min_chars,mom,1,same_day,,inday_amap_orig,prod(1+ret)-1 for minute<120
ret_pm,daily,min_chars,min_chars,mom,1,same_day,,inday_amap_orig,prod(1+ret)-1 for minute>=120
conf_persist,daily,min_chars,min_chars,mom,1,same_day,,inday_conf_persist;inday_regain_conf_persist,median(minute|down)-median(minute|up)
high_time,daily,min_chars,min_chars,mom,1,same_day,,inday_high_time,median(minute) of top-5 high
incvol_ret,daily,min_chars,min_chars,mom,1,same_day,,inday_incvol_mom,sum(ret) where volume>shift1
vwap_trend,daily,min_chars,min_chars,mom,1,same_day,,inday_trend_avg;inday_trend_std,"corr(px,minute)*std(px)/std(minute)"
vwap_hlvol,daily,min_chars,min_chars,mom,1,same_day,,inday_vwap_diff_hlvol,(vwap_highvol-vwap_lowvol)/avg
amt1h,daily,min_chars,min_chars,session,1,same_day,,,sum(amount) within sess=0 (1h)
twap1h,daily,min_chars,min_chars,session,1,same_day,,,mean(close) within sess=0 (1h)
bamt1h,daily,min_chars,min_chars,session,1,same_day,,,sum(amount) where ret>0 (flat split 50/50) within sess=0 (1h)
samt1h,daily,min_chars,min_chars,session,1,same_day,,,sum(amount) where ret<0 (flat split 50/50) within sess=0 (1h)
ret_path1h,daily,min_chars,min_chars,session,1,same_day,,,(prod(1+ret)-1)*100 within sess=0 (1h)
ret_std1h,daily,min_chars,min_chars,session,1,same_day,,,std(ret) within sess=0 (1h)
ret_skew1h,daily,min_chars,min_chars,session,1,same_day,,,"skew(ret), n>=3 within sess=0 (1h)"
ret_kurt1h,daily,min_chars,min_chars,session,1,same_day,,,"kurtosis(ret, fisher=False), n>=3 within sess=0 (1h)"
vol_std1h,daily,min_chars,min_chars,session,1,same_day,,,std(volume) within sess=0 (1h)
vol_hhi1h,daily,min_chars,min_chars,session,1,same_day,,,n*sum(volume^2)/sum(volume)^2 within sess=0 (1h)
ret_jump1h,daily,min_chars,min_chars,session,1,same_day,,,ret*100 of max |ret| bar within sess=0 (1h)
mkt_beta1h,daily,min_chars,min_chars,session,1,same_day,,,"corr(ret,mkt)*std(ret)/std(mkt) within sess=0 (1h)"
mkt_corr1h,daily,min_chars,min_chars,session,1,same_day,,,"corr(ret,mkt) within sess=0 (1h)"
ret_autocorr1h,daily,min_chars,min_chars,session,1,same_day,,,"corr(ret, ret.shift1) within sess=0 (1h)"
vol_autocorr1h,daily,min_chars,min_chars,session,1,same_day,,,"corr(volume, volume.shift1) within sess=0 (1h)"
vol_retlag_corr1h,daily,min_chars,min_chars,session,1,same_day,,,"corr(volume, ret.shift1) within sess=0 (1h)"
